| objname   | ra     | dec    |
| char      | double | double |
pgc3215631       54.1014      -28.1391
pgc3218703       329.679      -27.4764
pgc3223823       333.676      -31.6607
pgc3210508       37.8745      -29.0190
pgc3209483       37.8466      -28.2168
pgc3221767       333.929      -28.2962
pgc3222791       334.236      -29.3157
pgc3212550       41.0175      -28.9885
pgc3218694       329.754      -27.8483
pgc3219716       329.037      -30.5247
pgc3220740       328.324      -30.9696
pgc3216643       54.7340      -30.3299
pgc3211522       37.8358      -31.0725
pgc3212627       40.4956      -27.9580
pgc3218771       329.214      -28.3773
pgc3213650       42.0714      -31.5242
pgc3214671       47.5080      -28.0235
pgc3221839       333.540      -28.5485
pgc3216717       54.1738      -29.9824
pgc3222857       333.917      -29.3230
pgc3222852       333.977      -30.8716
pgc3223876       333.158      -30.9232
pgc3218755       329.367      -28.3447
pgc3220803       327.925      -31.7369
pgc3213634       42.1708      -31.3209
pgc3214658       47.5351      -28.5988
pgc3222850       333.981      -30.8845
pgc3221825       333.594      -27.2542
pgc3222849       333.985      -30.4451
pgc3223872       333.198      -31.0962
pgc3209535       37.4601      -27.8940
pgc3221820       333.652      -28.4528
pgc3212603       40.6239      -28.8417
pgc3219771       328.681      -30.6848
pgc3222843       334.001      -30.0029
pgc3213626       42.2316      -31.8622
pgc3212601       40.6371      -28.8408
pgc3222841       334.023      -30.3572
pgc3221816       333.652      -27.9730
pgc3221815       333.664      -27.3787
pgc3212598       40.6742      -28.9616
pgc3219765       328.702      -30.5073
pgc3222836       334.060      -29.1837
pgc3219763       328.699      -29.2286
pgc3223859       333.341      -31.0678
pgc3217713       49.8844      -29.0813
pgc3217712       49.8741      -30.3099
pgc3220783       328.062      -31.7194
pgc3223855       333.362      -31.4023
pgc3217710       49.8703      -30.1603
pgc3222830       334.095      -29.6604
pgc3220779       328.078      -32.1420
pgc3223851       333.433      -31.7929
pgc3218730       329.558      -28.4595
pgc3220778       328.087      -32.0229
pgc3221894       333.219      -27.8362
pgc3218821       328.817      -28.5502
pgc3220868       327.477      -31.2632
pgc3214723       47.3283      -30.8117
pgc3217794       49.3968      -30.0903
pgc3211649       36.8427      -31.9340
pgc3218814       328.891      -28.0546
pgc3220862       327.513      -31.4561
pgc3216765       54.0129      -30.5204
pgc3217789       49.4451      -29.5286
pgc3218812       328.906      -28.9206
pgc3220858       327.524      -32.0192
pgc3216761       54.0268      -30.6098
pgc3220857       327.538      -31.8905
pgc3221881       333.269      -27.2755
pgc3223929       332.819      -31.5190
pgc3221880       333.289      -28.3194
pgc3213687       41.7075      -31.4674
pgc3218807       328.958      -27.9753
pgc3220854       327.559      -31.2960
pgc3223926       332.831      -31.6493
pgc3218803       328.965      -28.7597
pgc3214706       47.3730      -29.7144
pgc3217777       49.4851      -29.7528
pgc3215727       53.3696      -29.0542
pgc3222895       333.768      -30.8827
pgc3221869       333.337      -28.1698
pgc3222892       333.809      -30.6037
pgc3221866       333.333      -27.3824
pgc3217768       49.5564      -29.3823
pgc3217766       49.5448      -30.5937
pgc3218790       329.075      -28.1893
pgc3219813       328.399      -29.4858
pgc3214692       47.4298      -32.3032
pgc3220836       327.667      -31.8755
pgc3219811       328.427      -30.6951
pgc3209565       37.2513      -27.6484
pgc3215707       53.5683      -28.1397
pgc3222873       333.871      -30.7489
pgc3221848       333.490      -28.7844
pgc3219798       328.506      -30.4558
pgc3220822       327.801      -31.4290
pgc3214676       47.5148      -31.0946
pgc3218864       328.417      -27.2681
pgc3222959       333.449      -29.3377
pgc3223983       332.318      -31.0750
pgc3218862       328.465      -28.7114
pgc3221930       333.069      -27.3421
pgc3222952       333.478      -29.6905
pgc3223976       332.405      -31.6827
pgc3213735       40.9656      -32.0800
pgc3221927       333.087      -28.4199
pgc3217830       54.2104      -31.2240
pgc3218854       328.498      -27.7277
pgc3222950       333.496      -30.7350
pgc3221925       333.085      -27.7362
pgc3220899       327.286      -31.0067
pgc3221922       333.086      -27.4170
pgc3222946       333.519      -30.7114
pgc3219873       327.978      -29.6804
pgc3223969       332.489      -30.9310
pgc3219872       327.991      -29.1685
pgc3218842       328.589      -27.6955
pgc3220890       327.376      -32.0046
pgc3222937       333.548      -29.8807
pgc3223961       332.553      -30.9236
pgc3222936       333.557      -30.7363
pgc3208598       28.2989      -27.8187
pgc3220886       327.397      -31.9776
pgc3212692       40.1333      -28.1082
pgc3218836       328.657      -28.6153
pgc3222932       333.566      -29.6898
pgc3213715       41.3100      -31.0234
pgc3214738       47.2934      -32.2913
pgc3220880       327.426      -31.6843
pgc3210639       36.8392      -30.6028
pgc3223950       332.640      -31.8730
pgc3220877       327.451      -32.1235
pgc3211660       36.7090      -32.1799
pgc3218828       328.702      -27.3569
pgc3221900       333.206      -28.8845
pgc3222924       333.614      -29.7025
pgc3211659       36.7276      -32.0798
pgc3219850       328.144      -29.4489
pgc3210631       36.8876      -29.2778
pgc3220971       326.743      -31.9129
pgc3224042       331.686      -32.2235
pgc3214824       47.0337      -27.8901
pgc3223015       333.199      -29.4813
pgc3215846       52.7551      -27.8561
pgc3221990       332.736      -27.5105
pgc3214817       47.0634      -29.0358
pgc3221985       332.767      -27.3387
pgc3224031       331.839      -31.5248
pgc3212766       39.5640      -27.4745
pgc3220958       326.870      -31.3195
pgc3223005       333.238      -30.1892
pgc3219932       327.641      -29.5747
pgc3213787       39.9035      -32.0673
pgc3220955       326.891      -31.7926
pgc3224027       331.864      -31.1328
pgc3223002       333.258      -30.1124
pgc3214809       47.0733      -31.9386
pgc3218904       328.174      -28.4063
pgc3214804       47.0862      -28.0041
pgc3220943       327.023      -31.4205
pgc3221961       332.883      -28.1558
pgc3221960       332.892      -28.4392
pgc3224006       332.074      -30.9521
pgc3214788       47.1426      -30.4561
pgc3224004       332.073      -32.1761
pgc3208643       28.1883      -28.9334
pgc3214787       47.1397      -27.8988
pgc3215809       52.9069      -28.4157
pgc3221950       332.964      -28.9503
pgc3221949       332.972      -27.9678
pgc3219900       327.826      -29.1503
pgc3219899       327.816      -29.1384
pgc3221947       332.999      -28.0849
pgc3218874       328.378      -28.8451
pgc3219898       327.824      -30.5189
pgc3221945       333.024      -28.7254
pgc3218870       328.401      -28.0425
pgc3222966       333.420      -29.9292
pgc3215797       52.9467      -28.8996
pgc3218867       328.427      -28.6129
pgc3218865       328.412      -27.3455
pgc3187771       344.060      -35.6361
pgc3194937       2.59095      -31.5049
pgc3187767       344.070      -35.0644
pgc3182646       49.4376      -33.8340
pgc3184692       329.282      -35.9549
pgc3193907       358.120      -28.6616
pgc3202099       19.6845      -30.2340
pgc3181618       40.8506      -32.3351
pgc3202097       19.6710      -29.7293
pgc3196976       5.06805      -29.2635
pgc3200048       9.84150      -29.8905
pgc3181615       40.8591      -32.7010
pgc3203119       15.2135      -29.4301
pgc3183661       328.994      -33.4395
pgc3184683       329.387      -37.0336
pgc3184682       329.420      -36.4095
pgc3194922       2.72355      -32.1524
pgc3197994       14.4605      -27.4914
pgc3192872       352.643      -34.1844
pgc3184679       329.513      -36.7018
pgc3187750       344.131      -35.2694
pgc3204134       25.5518      -27.9046
pgc3203109       15.2331      -29.2904
pgc3190820       346.711      -34.9254
pgc3180579       36.4326      -34.7602
pgc3190819       346.717      -34.3745
pgc3205154       25.1954      -30.1109
pgc3184672       329.622      -37.2236
pgc3190815       346.762      -34.6287
pgc3194910       2.75550      -31.5713
pgc3189789       346.541      -33.0285
pgc3199005       9.41520      -28.3315
pgc3184667       329.666      -36.4287
pgc3200025       9.99555      -29.3868
pgc3205145       25.2195      -29.3393
pgc3183640       329.213      -32.7705
pgc3191832       352.254      -33.0693
pgc3180567       36.5211      -34.7479
pgc3201047       19.4988      -27.2919
pgc3206167       24.9225      -31.8061
pgc3232767       355.303      -27.5905
pgc3238911       20.2938      -27.0541
pgc3229692       348.599      -28.1105
pgc3218956       327.848      -28.8015
pgc3211787       35.3492      -31.5383
pgc3213323       40.5220      -30.0723
pgc3215371       44.7802      -28.8379
pgc3215883       52.5671      -28.6608
pgc3218955       327.870      -28.8319
pgc3222027       332.559      -28.0349
pgc3222539       335.792      -28.9896
pgc3214858       46.9170      -30.7565
pgc3215370       44.7855      -28.6812
pgc3223050       333.036      -30.2941
pgc3218953       327.891      -27.9590
pgc3220489       330.473      -31.3169
pgc3211784       35.3867      -31.8473
pgc3214856       46.9191      -28.3953
pgc3224072       331.354      -31.3346
pgc3223559       335.996      -31.4308
pgc3218437       331.239      -27.4560
pgc3220484       330.506      -31.8794
pgc3224068       331.420      -32.1716
pgc3216898       53.5532      -29.9799
pgc3224064       331.483      -31.7635
pgc3213822       39.1369      -30.9532
pgc3214846       46.9545      -27.8462
pgc3222014       332.647      -27.4175
pgc3214844       46.9688      -27.8135
pgc3219962       327.506      -29.7200
pgc3223034       333.107      -30.4867
pgc3208697       28.0107      -31.4140
pgc3224055       331.609      -31.5382
pgc3220980       326.694      -31.4856
pgc3222004       332.684      -27.3707
pgc3222002       332.679      -28.8407
pgc3214833       47.0082      -32.0310
pgc3219953       327.529      -30.5928
pgc3224048       331.651      -32.1660
pgc3213807       39.3741      -31.5501
pgc3223023       333.162      -30.7501
pgc3220974       326.713      -31.9447
pgc3214829       47.0306      -30.4927
pgc3219949       327.556      -30.4875
pgc3220972       326.715      -31.8110
pgc3208683       28.0537      -30.9720
pgc3184741       339.642      -33.2171
pgc3191907       351.822      -33.6692
pgc3194978       2.25315      -31.7448
pgc3193953       357.794      -28.5021
pgc3187808       343.773      -34.9275
pgc3181663       40.4959      -33.2669
pgc3180638       36.0112      -34.5249
pgc3181661       40.5150      -32.5383
pgc3188829       340.785      -35.9049
pgc3204189       25.2271      -28.1968
pgc3192924       352.323      -35.4563
pgc3189851       346.289      -32.6730
pgc3199067       14.8860      -30.3799
pgc3186777       344.579      -32.6632
pgc3192921       352.348      -34.3376
pgc3195993       6.20985      -28.4675
pgc3180631       36.0384      -34.2880
pgc3190871       346.382      -35.2105
pgc3190870       346.405      -34.3112
pgc3184721       328.853      -36.1910
pgc3192913       352.392      -34.4314
pgc3190864       346.443      -34.3003
pgc3203152       15.0731      -29.6587
pgc3183695       328.675      -32.4628
pgc3180621       36.1335      -35.3811
pgc3202123       19.5920      -29.4188
pgc3180618       36.1410      -34.6542
pgc3197002       4.87755      -30.4511
pgc3203146       15.0939      -29.4812
pgc3207241       31.3206      -30.7656
pgc3191879       351.971      -33.1210
pgc3193927       358.008      -27.4359
pgc3202116       19.6126      -30.0521
pgc3183683       328.809      -32.4883
pgc3184707       329.070      -36.7675
pgc3192899       352.477      -35.3020
pgc3193922       358.053      -27.3057
pgc3201088       19.2719      -27.6608
pgc3184702       329.155      -36.1886
pgc3182653       49.3670      -33.1593
pgc3198013       14.3466      -28.0019
pgc3188796       342.407      -35.8834
pgc3205180       25.0991      -30.1381
pgc3223082       332.911      -29.2840
pgc3224106       342.589      -28.9157
pgc3208745       27.9270      -28.4450
pgc3221031       326.354      -31.4448
pgc3224102       342.609      -28.8788
pgc3216933       53.4572      -29.2847
pgc3224101       342.616      -28.7404
pgc3214884       46.8429      -28.4163
pgc3222052       332.486      -27.9880
pgc3223076       332.922      -29.1529
pgc3222051       332.486      -27.8028
pgc3221026       326.386      -31.4716
pgc3215905       52.4413      -27.7894
pgc3220001       327.407      -29.9325
pgc3222049       332.495      -27.7267
pgc3223070       332.964      -30.0058
pgc3221020       326.413      -31.1960
pgc3216923       53.5093      -30.8796
pgc3222042       332.513      -27.3624
pgc3223066       332.971      -30.8642
pgc3224090       342.673      -28.6657
pgc3215897       52.4813      -28.0978
pgc3214871       46.8819      -27.5135
pgc3218967       327.781      -27.2710
pgc3214358       48.4290      -28.8887
pgc3214869       46.8820      -30.9147
pgc3219477       330.323      -30.0465
pgc3220501       330.367      -31.4017
pgc3208212       29.1909      -27.4372
pgc3218964       327.799      -27.8015
pgc3208722       28.0016      -28.0531
pgc3219986       327.452      -29.4296
pgc3222034       332.548      -28.1971
pgc3218961       327.821      -28.7153
pgc3220497       330.400      -31.5228
pgc3221521       335.022      -28.5443
pgc3223057       333.020      -29.0932
pgc3214863       46.8963      -31.2262
pgc3217423       51.2970      -30.2589
pgc3214861       46.9030      -30.7381
pgc3215372       44.7191      -31.5460
pgc3216396       50.2930      -27.7381
pgc3207305       31.1780      -28.2500
pgc3189896       346.131      -33.3843
pgc3197063       4.43610      -29.1121
pgc3200135       9.55740      -29.0294
pgc3180678       35.6903      -34.5601
pgc3199110       14.6243      -30.1021
pgc3180677       35.7007      -34.0251
pgc3203205       20.4286      -31.5908
pgc3198084       13.9821      -28.6744
pgc3181697       40.3303      -33.3428
pgc3197057       4.44135      -29.6487
pgc3197055       4.45890      -28.8435
pgc3200127       9.56070      -30.6508
pgc3183741       328.108      -33.0390
pgc3186813       344.318      -32.5063
pgc3190909       346.136      -34.7578
pgc3204221       24.9971      -27.5536
pgc3207293       31.2617      -31.7684
pgc3187836       343.603      -35.3042
pgc3190908       346.163      -34.1043
pgc3192953       352.215      -35.3299
pgc3183734       328.246      -33.0908
pgc3186806       344.387      -32.4669
pgc3206262       24.2913      -31.8467
pgc3187826       343.661      -34.1113
pgc3190898       346.224      -35.1336
pgc3187825       343.698      -35.3141
pgc3190897       346.226      -35.1167
pgc3194993       2.13195      -31.1759
pgc3203183       20.6383      -32.1436
pgc3194989       2.18805      -31.6028
pgc3199085       14.7424      -30.2830
pgc3206253       24.3873      -31.2034
pgc3202156       19.4698      -29.1129
pgc3204204       25.1070      -27.4011
pgc3180651       35.8938      -34.8155
pgc3180649       35.9139      -35.6429
pgc3181673       40.4576      -32.9337
pgc3193960       3.48690      -29.6415
pgc3202152       19.5170      -30.2541
pgc3181671       40.4709      -33.8209
pgc3193958       357.780      -28.4860
pgc3183717       328.422      -33.0616
pgc3222107       332.252      -28.6260
pgc3223131       332.700      -29.7998
pgc3222106       332.252      -28.0072
pgc3214936       46.6197      -29.5767
pgc3223128       332.711      -30.2437
pgc3215957       52.1698      -27.5812
pgc3221077       326.018      -31.9245
pgc3213908       38.2581      -32.0148
pgc3219028       327.484      -28.9698
pgc3221075       326.046      -31.9251
pgc3223123       332.713      -29.7910
pgc3222098       332.291      -28.9316
pgc3215953       52.2156      -29.0622
pgc3216976       53.3379      -29.9062
pgc3215949       52.2271      -27.8898
pgc3217997       53.1399      -31.0150
pgc3214922       46.6788      -32.1656
pgc3209800       35.8047      -28.8004
pgc3215944       52.2765      -28.9858
pgc3209799       35.7941      -27.7034
pgc3219015       327.566      -28.3135
pgc3222087       332.316      -28.0029
pgc3214917       46.6974      -28.4914
pgc3221061       326.127      -31.4507
pgc3224133       342.432      -28.7287
pgc3224132       342.400      -28.1430
pgc3222083       332.329      -28.7043
pgc3211841       34.9386      -32.0891
pgc3223104       332.787      -29.8904
pgc3214909       46.7277      -28.5968
pgc3213884       38.4186      -32.0038
pgc3222074       332.370      -27.5755
pgc3223098       332.837      -30.2748
pgc3222072       332.371      -28.4591
pgc3208759       27.8685      -29.9632
pgc3213877       38.5212      -31.9685
pgc3216949       53.4129      -30.1611
pgc3221043       326.271      -31.0607
pgc3220016       327.351      -30.8232
pgc3221038       326.302      -31.6442
pgc3221037       326.305      -31.4505
pgc3223084       332.893      -30.5055
pgc3224107       342.538      -27.3029
pgc3201199       18.8380      -28.9508
pgc3189934       346.002      -33.0064
pgc3194030       3.08235      -30.5103
pgc3202222       19.1962      -30.6012
pgc3203246       20.1632      -31.1449
pgc3180716       35.5030      -35.0965
pgc3198124       13.7487      -27.8809
pgc3204263       24.6876      -28.4881
pgc3198118       13.8126      -28.7974
pgc3183781       333.588      -34.3142
pgc3190948       345.953      -35.2639
pgc3192996       351.990      -35.0193
pgc3204260       24.6870      -27.4170
pgc3206306       23.9139      -31.6985
pgc3187872       343.445      -34.7770
pgc3197086       4.28670      -28.9917
pgc3206302       23.9552      -32.0889
pgc3191965       357.281      -34.5961
pgc3205277       24.6635      -30.1710
pgc3206301       23.9848      -31.8959
pgc3195036       1.86150      -31.7881
pgc3197084       4.27590      -29.7953
pgc3180698       35.6269      -34.0545
pgc3187864       343.479      -34.8847
pgc3188888       340.145      -36.4545
pgc3192984       352.094      -34.8692
pgc3181719       40.2088      -33.8143
pgc3201175       18.9273      -27.5659
pgc3181717       40.2243      -33.4914
pgc3182740       48.4573      -33.8310
pgc3205266       24.7500      -30.7379
pgc3180689       35.6481      -34.5234
pgc3203217       20.3979      -31.5661
pgc3183760       327.881      -32.5896
pgc3183758       327.887      -32.5040
pgc3183757       327.931      -32.7217
pgc3187853       343.524      -35.1452
pgc3199116       14.5449      -29.0236
pgc3204235       24.8731      -28.7305
pgc3180682       35.6845      -34.4484
pgc3184778       339.311      -32.5146
pgc3186825       344.249      -32.7216
pgc3221123       325.820      -31.1025
pgc3223170       332.541      -29.7760
pgc3210881       35.5095      -30.4951
pgc3219073       327.261      -27.4161
pgc3223169       332.557      -30.8467
pgc3222143       332.064      -27.5627
pgc3220094       327.059      -30.0087
pgc3222142       332.067      -28.5071
pgc3219069       327.267      -28.0596
pgc3222141       332.078      -28.8720
pgc3223165       332.577      -30.2420
pgc3219068       327.277      -27.7713
pgc3221116       325.878      -30.8962
pgc3221114       325.877      -31.4508
pgc3219063       327.307      -28.0285
pgc3221110       325.888      -32.1275
pgc3223158       332.617      -29.1564
pgc3223156       332.610      -30.7339
pgc3221106       325.895      -31.5348
pgc3223152       332.630      -30.0215
pgc3219055       327.339      -28.1561
pgc3222125       332.157      -28.6049
pgc3223149       332.623      -29.5569
pgc3221100       325.918      -31.1992
pgc3222124       332.155      -28.2111
pgc3223148       332.631      -29.5464
pgc3219050       327.389      -27.4034
pgc3214953       46.5723      -28.3855
pgc3221097       325.945      -31.6135
pgc3219048       327.394      -28.4244
pgc3221096       325.941      -31.3701
pgc3223144       332.633      -30.6394
pgc3222119       332.196      -27.6883
pgc3211875       34.6554      -31.9683
pgc3211874       34.6681      -31.3592
pgc3220065       327.154      -30.3581
pgc3223137       332.674      -29.3312
pgc3214944       46.5936      -29.2895
pgc3219040       327.457      -28.8357
pgc3223136       332.673      -29.3135
pgc3220062       327.158      -29.9717
pgc3218013       53.0314      -31.3363
pgc3220060       327.167      -29.7390
pgc3182819       47.6697      -32.9491
pgc3194080       2.81325      -30.4771
pgc3201247       18.5961      -27.5504
pgc3202271       18.9715      -30.8091
pgc3204318       24.3827      -28.4722
pgc3180764       35.0598      -34.0436
pgc3207386       31.0350      -30.3667
pgc3181785       39.8687      -33.2756
pgc3195097       1.43775      -32.1583
pgc3203289       19.8594      -31.5455
pgc3207385       31.0185      -29.0807
pgc3189976       345.844      -32.4917
pgc3187926       343.223      -34.0892
pgc3196118       5.07900      -28.2981
pgc3192021       356.869      -34.4460
pgc3181780       39.9099      -33.4500
pgc3186900       343.827      -32.8431
pgc3190996       350.404      -35.9184
pgc3182801       47.8006      -33.6941
pgc3189969       345.854      -32.8777
pgc3185872       335.598      -34.6197
pgc3183823       333.351      -34.6409
pgc3188943       339.744      -37.0816
pgc3200207       14.9712      -31.9221
pgc3180750       35.2537      -34.8840
pgc3203278       19.9629      -31.9126
pgc3196108       5.14515      -28.1654
pgc3201228       18.6926      -28.7077
pgc3203273       20.0049      -31.6574
pgc3206343       23.6996      -31.6923
pgc3181765       40.0135      -33.9733
pgc3186885       343.887      -33.2436
pgc3183812       333.421      -34.3409
pgc3204292       24.5043      -28.2070
pgc3202241       19.0975      -30.2439
pgc3207360       31.0613      -28.3591
pgc3189949       345.947      -32.9562
pgc3183801       333.508      -34.6288
pgc3206328       23.7840      -32.0911
pgc3181749       40.1012      -33.0523
pgc3197109       4.07085      -30.0920
pgc3183792       333.583      -35.4432
pgc3189936       345.999      -33.1835
pgc3221167       337.058      -28.1228
pgc3213998       49.2966      -29.5933
pgc3215022       46.3078      -32.0899
pgc3223213       332.355      -29.8678
pgc3221164       325.625      -30.9438
pgc3223212       332.361      -29.6153
pgc3213995       49.3197      -30.3828
pgc3221163       325.617      -31.5490
pgc3223210       332.367      -30.6038
pgc3219113       327.019      -28.9281
pgc3223208       332.383      -29.6523
pgc3215013       46.3531      -29.9255
pgc3219109       327.053      -28.2222
pgc3220132       326.876      -29.3474
pgc3221156       325.649      -31.4520
pgc3220131       326.893      -30.5359
pgc3223202       332.401      -30.2802
pgc3209888       35.2003      -28.4383
pgc3219104       327.105      -28.7165
pgc3222176       331.925      -28.0349
pgc3220127       326.885      -30.1731
pgc3221151       325.657      -31.0351
pgc3210906       35.3368      -30.8427
pgc3218072       52.5215      -31.4478
pgc3212950       38.1912      -27.7205
pgc3222166       331.980      -27.7355
pgc3212949       38.2035      -27.6646
pgc3223187       332.456      -30.1402
pgc3210898       35.3709      -29.7992
pgc3221138       325.719      -31.8071
pgc3216016       51.9622      -28.5441
pgc3214991       46.4398      -30.3269
pgc3210893       35.4289      -30.7673
pgc3216013       51.9555      -28.1531
pgc3216012       51.9564      -27.8513
pgc3222156       332.003      -28.2516
pgc3219083       327.224      -28.3486
pgc3218057       52.6751      -31.1860
pgc3220104       327.022      -29.1721
pgc3210887       35.4663      -30.3572
pgc3213959       37.9132      -31.2482
pgc3209862       35.3786      -28.9792
pgc3219078       327.255      -28.3008
pgc3205395       23.7563      -29.2952
pgc3194127       2.56275      -29.6804
pgc3205391       23.8113      -29.7764
pgc3196174       4.70700      -27.6426
pgc3200268       14.5443      -31.8816
pgc3189003       351.218      -33.3631
pgc3191048       357.399      -33.4068
pgc3197192       9.23355      -31.2330
pgc3204359       24.1307      -27.6281
pgc3185926       335.241      -35.3991
pgc3194116       2.67240      -30.1216
pgc3190019       351.627      -34.7090
pgc3206403       23.4642      -31.7313
pgc3183874       333.018      -34.7619
pgc3196162       4.76865      -28.4820
pgc3196158       4.79220      -27.5102
pgc3181821       39.6875      -32.6191
pgc3180795       34.7834      -34.2605
pgc3188987       351.336      -32.8105
pgc3201275       18.4160      -27.9607
pgc3203323       19.5680      -32.0122
pgc3181818       39.6972      -33.6128
pgc3192058       356.677      -34.7319
pgc3201274       18.4296      -27.5243
pgc3204346       24.2294      -28.5049
pgc3188984       351.409      -33.4358
pgc3201272       18.4564      -27.8313
pgc3185909       335.309      -34.5862
pgc3188981       351.361      -32.3478
pgc3207412       30.9387      -27.5492
pgc3185907       335.375      -34.2554
pgc3185903       335.410      -34.0758
pgc3189999       345.758      -32.5945
pgc3201263       18.4879      -27.6593
pgc3180779       34.9866      -34.0828
pgc3189995       345.765      -32.8453
pgc3206378       23.5797      -32.0826
pgc3182824       47.5776      -33.0480
pgc3185894       335.454      -35.2307
pgc3187942       343.182      -34.3232
pgc3189990       345.787      -32.9931
pgc3204324       24.3386      -27.4627
pgc3207396       31.0007      -29.7757
pgc3219169       326.515      -28.9118
pgc3216093       51.5617      -28.1768
pgc3222237       331.606      -28.7095
pgc3213020       43.0674      -30.4293
pgc3210970       34.9599      -29.4410
pgc3222234       331.634      -28.0615
pgc3208921       27.4724      -31.6440
pgc3219161       326.591      -27.5066
pgc3214040       49.2184      -30.6400
pgc3220184       326.648      -30.5829
pgc3214039       49.1740      -28.6657
pgc3215063       46.1916      -30.7223
pgc3213013       43.1678      -30.5763
pgc3215060       46.2189      -28.6497
pgc3220180       326.671      -30.6147
pgc3223252       332.158      -30.1422
pgc3223250       332.172      -29.7708
pgc3220176       326.689      -29.4023
pgc3217103       52.9678      -30.3978
pgc3215054       46.2447      -27.7026
pgc3218126       52.1568      -31.6823
pgc3209932       34.9846      -27.4503
pgc3218124       52.1892      -31.9267
pgc3221192       336.837      -27.6247
pgc3219143       326.757      -28.1415
pgc3223239       332.215      -30.6207
pgc3222214       331.721      -28.6562
pgc3212996       43.3858      -30.0326
pgc3221188       336.875      -27.9160
pgc3220162       326.756      -29.9792
pgc3212989       43.4391      -29.0978
pgc3220156       326.777      -29.8413
pgc3221178       336.984      -28.5028
pgc3211961       33.9983      -31.9796
pgc3221175       337.006      -28.7005
pgc3223223       332.282      -30.6385
pgc3220150       326.785      -30.3197
pgc3221173       337.033      -28.8605
pgc3222197       331.832      -28.0422
pgc3216052       51.7524      -27.4665
pgc3212978       43.6467      -29.4113
pgc3215025       46.3204      -29.9660
pgc3215024       46.3210      -29.7850
pgc3193170       2.46930      -28.1476
pgc3189072       350.736      -32.8943
pgc3207498       30.8079      -30.6988
pgc3183945       332.559      -35.1193
pgc3185993       334.975      -34.6728
pgc3191113       356.884      -33.8821
pgc3191112       356.851      -32.6857
pgc3182918       46.8138      -33.1058
pgc3190086       351.286      -35.6023
pgc3204420       23.8248      -27.3864
pgc3188032       342.908      -35.2225
pgc3202368       18.5216      -29.0695
pgc3187005       343.065      -33.5543
pgc3206458       23.1477      -32.1657
pgc3181881       44.1247      -34.2401
pgc3203384       19.1837      -31.8873
pgc3190069       351.367      -35.6146
pgc3180852       34.3428      -34.9109
pgc3203379       19.1832      -31.0333
pgc3181873       44.3887      -34.0610
pgc3183921       332.794      -35.6014
pgc3180848       34.3750      -35.1188
pgc3181872       44.4579      -34.4321
