| objname   | ra     | dec    |
| char      | double | double |
pgc3223772       334.058      -31.8914
pgc3215579       54.6903      -28.8989
pgc3218651       330.010      -28.4358
pgc3221723       334.118      -27.5610
pgc3222747       334.427      -29.1163
pgc3223767       334.079      -30.9537
pgc3220694       328.719      -30.9588
pgc3222742       334.446      -30.2880
pgc3225595       337.343      -30.2957
pgc3241978       41.8997      -23.5677
pgc3225593       337.384      -29.0755
pgc3230713       348.979      -30.1715
pgc3233785       1.95495      -26.6129
pgc3235833       13.5644      -26.2749
pgc3234806       8.68650      -26.0057
pgc3225588       337.398      -29.5434
pgc3224563       339.064      -28.2459
pgc3225584       337.444      -28.9950
pgc3239918       26.2090      -26.6859
pgc3225581       337.433      -30.1591
pgc3232749       355.258      -31.3274
pgc3228651       344.102      -30.9305
pgc3235818       13.6653      -26.5091
pgc3224550       339.210      -27.4027
pgc3224548       339.241      -28.5569
pgc3227619       346.460      -30.7106
pgc3232738       355.319      -29.2771
pgc3234785       3.48450      -25.6176
pgc3235808       13.6854      -25.9244
pgc3235807       13.6781      -25.8603
pgc3235801       13.7336      -26.3228
pgc3225560       337.600      -30.4699
pgc3232727       355.275      -32.0974
pgc3235798       13.7734      -27.1525
pgc3224533       339.364      -28.8888
pgc3230676       349.245      -29.6957
pgc3228627       344.391      -32.0616
pgc3229651       348.786      -28.7933
pgc3240915       41.6466      -26.6661
pgc3242963       43.8756      -26.4220
pgc3224530       339.395      -28.3754
pgc3225554       337.631      -30.1450
pgc3242962       43.8891      -27.2753
pgc3243986       48.9891      -25.8439
pgc3238865       20.5927      -26.9953
pgc3226576       347.123      -28.0854
pgc3240912       41.6271      -25.4993
pgc3227599       346.581      -29.1065
pgc3234767       3.86940      -25.1602
pgc3225544       337.685      -30.4862
pgc3227592       346.648      -30.6481
pgc3223849       333.441      -30.9319
pgc3218728       329.553      -27.5083
pgc3212582       40.8198      -28.9204
pgc3219750       328.820      -30.7230
pgc3221798       333.758      -28.5616
pgc3209509       37.6446      -27.4360
pgc3214629       47.6191      -28.8236
pgc3209507       37.6915      -28.3139
pgc3216675       54.4731      -30.7027
pgc3223843       333.483      -32.0975
pgc3223841       333.472      -30.9897
pgc3216672       54.4574      -29.5502
pgc3218720       329.608      -28.1882
pgc3219744       328.819      -29.4154
pgc3223840       333.493      -31.5156
pgc3221790       333.800      -27.8416
pgc3221788       333.820      -28.6734
pgc3217691       49.9552      -30.0178
pgc3215642       54.0280      -28.7077
pgc3218713       329.650      -28.3282
pgc3219737       328.896      -30.9035
pgc3220761       328.197      -31.1171
pgc3222809       334.167      -29.7876
pgc3222806       334.209      -30.7402
pgc3213589       42.8067      -31.5898
pgc3221781       333.872      -28.2818
pgc3223829       333.597      -31.4710
pgc3213587       42.8352      -32.2331
pgc3223826       333.641      -31.8613
pgc3222800       334.202      -29.1182
