# column 1: galaxy name
# column 2: survey tag
# column 3: product tag
# column 4: file name
ngc1800 lvl_release irac1 ../../data/irac/lvl/NGC1800_irac1.fits
ngc2366 lvl_release irac1 ../../data/irac/lvl/NGC2366_irac1.fits
ngc2403 lvl_release irac1 ../../data/irac/lvl/NGC2403_irac1.fits
ngc2500 lvl_release irac1 ../../data/irac/lvl/NGC2500_irac1.fits
ngc2537 lvl_release irac1 ../../data/irac/lvl/NGC2537_irac1.fits
ngc2552 lvl_release irac1 ../../data/irac/lvl/NGC2552_irac1.fits
ngc2683 lvl_release irac1 ../../data/irac/lvl/NGC2683_irac1.fits
ngc2903 lvl_release irac1 ../../data/irac/lvl/NGC2903_irac1.fits
ngc2976 lvl_release irac1 ../../data/irac/lvl/NGC2976_irac1.fits
ngc3031 lvl_release irac1 ../../data/irac/lvl/NGC3031_irac1.fits
ngc3034 lvl_release irac1 ../../data/irac/lvl/NGC3034_irac1.fits
ngc3077 lvl_release irac1 ../../data/irac/lvl/NGC3077_irac1.fits
ngc3109 lvl_release irac1 ../../data/irac/lvl/NGC3109_irac1.fits
ngc3239 lvl_release irac1 ../../data/irac/lvl/NGC3239_irac1.fits
ngc3274 lvl_release irac1 ../../data/irac/lvl/NGC3274_irac1.fits
ngc3299 lvl_release irac1 ../../data/irac/lvl/NGC3299_irac1.fits
ngc3344 lvl_release irac1 ../../data/irac/lvl/NGC3344_irac1.fits
ngc3351 lvl_release irac1 ../../data/irac/lvl/NGC3351_irac1.fits
ngc3368 lvl_release irac1 ../../data/irac/lvl/NGC3368_irac1.fits
ngc3432 lvl_release irac1 ../../data/irac/lvl/NGC3432_irac1.fits
ngc3486 lvl_release irac1 ../../data/irac/lvl/NGC3486_irac1.fits
ngc3510 lvl_release irac1 ../../data/irac/lvl/NGC3510_irac1.fits
ngc3521 lvl_release irac1 ../../data/irac/lvl/NGC3521_irac1.fits
ngc3593 lvl_release irac1 ../../data/irac/lvl/NGC3593_irac1.fits
ngc3623 lvl_release irac1 ../../data/irac/lvl/NGC3623_irac1.fits
ngc3627 lvl_release irac1 ../../data/irac/lvl/NGC3627_irac1.fits
ngc3628 lvl_release irac1 ../../data/irac/lvl/NGC3628_irac1.fits
ngc3738 lvl_release irac1 ../../data/irac/lvl/NGC3738_irac1.fits
ngc3741 lvl_release irac1 ../../data/irac/lvl/NGC3741_irac1.fits
ngc4020 lvl_release irac1 ../../data/irac/lvl/NGC4020_irac1.fits
ngc4068 lvl_release irac1 ../../data/irac/lvl/NGC4068_irac1.fits
ngc4080 lvl_release irac1 ../../data/irac/lvl/NGC4080_irac1.fits
ngc4096 lvl_release irac1 ../../data/irac/lvl/NGC4096_irac1.fits
ngc4144 lvl_release irac1 ../../data/irac/lvl/NGC4144_irac1.fits
ngc4163 lvl_release irac1 ../../data/irac/lvl/NGC4163_irac1.fits
ngc4190 lvl_release irac1 ../../data/irac/lvl/NGC4190_irac1.fits
ngc4214 lvl_release irac1 ../../data/irac/lvl/NGC4214_irac1.fits
ngc4236 lvl_release irac1 ../../data/irac/lvl/NGC4236_irac1.fits
ngc4242 lvl_release irac1 ../../data/irac/lvl/NGC4242_irac1.fits
ngc4244 lvl_release irac1 ../../data/irac/lvl/NGC4244_irac1.fits
ngc4248 lvl_release irac1 ../../data/irac/lvl/NGC4248_irac1.fits
ngc4258 lvl_release irac1 ../../data/irac/lvl/NGC4258_irac1.fits
ngc4288 lvl_release irac1 ../../data/irac/lvl/NGC4288_irac1.fits
ngc4395 lvl_release irac1 ../../data/irac/lvl/NGC4395_irac1.fits
ngc4449 lvl_release irac1 ../../data/irac/lvl/NGC4449_irac1.fits
ngc4455 lvl_release irac1 ../../data/irac/lvl/NGC4455_irac1.fits
ngc4460 lvl_release irac1 ../../data/irac/lvl/NGC4460_irac1.fits
ngc4485 lvl_release irac1 ../../data/irac/lvl/NGC4485_irac1.fits
ngc4490 lvl_release irac1 ../../data/irac/lvl/NGC4490_irac1.fits
ngc4594 lvl_release irac1 ../../data/irac/lvl/NGC4594_irac1.fits
ngc4605 lvl_release irac1 ../../data/irac/lvl/NGC4605_irac1.fits
ngc4618 lvl_release irac1 ../../data/irac/lvl/NGC4618_irac1.fits
ngc4625 lvl_release irac1 ../../data/irac/lvl/NGC4625_irac1.fits
ngc4631 lvl_release irac1 ../../data/irac/lvl/NGC4631_irac1.fits
ngc4656 lvl_release irac1 ../../data/irac/lvl/NGC4656_irac1.fits
ngc4707 lvl_release irac1 ../../data/irac/lvl/NGC4707_irac1.fits
ngc4736 lvl_release irac1 ../../data/irac/lvl/NGC4736_irac1.fits
ngc4826 lvl_release irac1 ../../data/irac/lvl/NGC4826_irac1.fits
ngc5023 lvl_release irac1 ../../data/irac/lvl/NGC5023_irac1.fits
ngc5055 lvl_release irac1 ../../data/irac/lvl/NGC5055_irac1.fits
