#
#                  objname | hl_names(pgc)                                                                                                                                                                                           |       pgc |   modz |   mod0 |     al2000 |     de2000 |        v |      e_v |     vrad |   e_vrad |     vvir |     pa |   incl |   logr25 | e_logr25 |  type |  bar |  ring |  multiple | compactness |     t |   e_t |   logd25 | e_logd25 |  vmaxg | e_vmaxg|   vrot | e_vrot |    m21 |  e_m21 |   mfir |     ag |    btc |   ubtc |   bvtc |    itc |
#
  NGC4736                 | UGC07996,PGC043495,NGC4736,MESSIER094,MCG+07-26-058,LGG290:[G93]012,IRAS12485+4123,CGCG217-001,CGCG216-034,2MASXJ12505314+4107125                                                                                                                                |     43495 |  29.52 |  28.21 |   12.84808 |   41.12030 |      314 |        1 |      308 |        3 |      528 |  105.0 |   31.8 |     0.06 |     0.04 | SABa  | B    | R     |           |             |   2.3 |   0.8 |     1.89 |     0.03 |  95.62 |   2.39 | 181.59 |   5.37 |  13.39 |   0.15 |   8.57 |   0.08 |   8.54 |   0.13 |   0.72 |    NaN |
  NGC4552                 | [TH2002]009,[RG2008]J188.91587+12.55634,VCC1632,UGC07760,SDSSJ123539.80+123322.8,PGC041968,NGC4552,MESSIER089,MCG+02-32-149,M89,EVCC2176,CGCG070-184,2MASXJ12353988+1233217                                                                                      |     41968 |    NaN |  30.98 |   12.59440 |   12.55624 |      323 |        4 |      NaN |      NaN |      416 |    NaN |   13.8 |     0.01 |     0.04 | E     |      |       |           |             |  -4.6 |   0.9 |     1.91 |     0.03 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.18 |  10.50 |   0.69 |   0.94 |   8.97 |
  NGC4594                 | UGCA293,SOMBRERO,PGC042407,NGC4594,MESSIER104,MCG-02-32-020,IRAS12373-1120,2MASXJ12395949-1137230                                                                                                                                                                |     42407 |  31.03 |  29.67 |   12.66651 |  -11.62301 |     1088 |        5 |     1090 |        6 |     1063 |   89.5 |   59.4 |     0.24 |     0.03 | Sa    |      |       |           |             |   1.1 |   0.3 |     1.93 |     0.02 | 351.29 |   8.86 | 408.04 |  10.55 |  14.86 |   0.18 |  10.93 |   0.22 |   8.70 |   0.43 |   0.88 |   6.95 |
  NGC4125                 | UGC07118,SDSSJ120805.88+651027.5,PGC038524,NGC4125,MCG+11-15-027,LGG274:[G93]002,IRAS12056+6527,IRAS12055+6527,CGCG315-019,2MASXJ12080601+6510268                                                                                                                |     38524 |  31.92 |  31.87 |   12.13499 |   65.17418 |     1389 |       27 |      NaN |      NaN |     1655 |   95.0 |   57.0 |     0.11 |     0.06 | E     |      |       |           |             |  -4.8 |   0.6 |     1.77 |     0.04 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |  13.61 |   0.08 |  10.54 |   0.48 |   0.90 |    NaN |
  NGC3938                 | UGC06856,SDSSJ115249.43+440714.6,PGC037229,NGC3938,MCG+07-25-001,LGG269:[G93]002,IRAS11502+4424,IRAS11502+4423,CGCG215-002,CGCG214-034,2MASXJ11524945+4407146                                                                                                    |     37229 |  30.87 |  31.44 |   11.88039 |   44.12077 |      808 |        7 |      809 |        3 |     1017 |    NaN |   14.1 |     0.01 |     0.02 | Sc    |      |       |           |             |   5.2 |   0.5 |     1.55 |     0.03 |  38.99 |   1.36 | 159.71 |   8.06 |  13.07 |   0.13 |  10.90 |   0.09 |  10.80 |  -0.12 |   0.49 |   9.48 |
  NGC3031                 | UGC05318,PGC028630,NGC3031,MESSIER081,MCG+12-10-010,LGG176:[G93]003,KPG218A,IRAS09514+6918,HIJASSJ0955+69,CGCG333-007,2MASXJ09553318+6903549                                                                                                                     |     28630 |    NaN |  27.78 |    9.92588 |   69.06528 |      -38 |        3 |      -39 |        3 |      216 |  157.0 |   62.7 |     0.28 |     0.04 | Sab   |      |       |           |             |   2.4 |   0.6 |     2.33 |     0.01 | 192.44 |   6.02 | 216.55 |   6.91 |  10.06 |   0.16 |   8.60 |   0.35 |   7.07 |    NaN |   0.82 |    NaN |
  NGC2841                 | UGC04966,SDSSJ092202.67+505835.9,PGC026512,NGC2841,MCG+09-16-005,KIG0324,IRAS09185+5111,CGCG265-006,2MASXJ09220265+5058353                                                                                                                                       |     26512 |  30.50 |  31.07 |    9.36740 |   50.97662 |      635 |        2 |      635 |        2 |      830 |  147.0 |   65.3 |     0.32 |     0.03 | SBb   | B    | R     |           |             |   2.9 |   0.5 |     1.84 |     0.02 | 290.36 |   6.04 | 319.55 |   6.76 |  12.19 |   0.12 |  10.87 |   0.07 |   9.54 |   0.27 |   0.79 |   8.66 |
  NGC1566                 | PGC014897,NGC1566,LGG114:[G93]003,IRAS04189-5503,IRAS04188-5503,HIPASSJ0419-54,ESOLV1570200,ESO157-020,DORADO_GROUP:[FS90]053,AGC023373,2MASXJ04200041-5456161                                                                                                   |     14897 |  31.25 |  28.94 |    4.33344 |  -54.93781 |     1502 |        3 |     1503 |        3 |     1222 |   45.1 |   47.9 |     0.16 |     0.04 | SABb  | B    |       |           |             |   4.0 |   0.2 |     1.86 |     0.02 |  91.55 |   1.25 | 123.40 |   1.86 |  12.56 |   0.14 |  10.06 |   0.04 |   9.98 |  -0.07 |   0.58 |   8.74 |
  NGC1316                 | PGC012651,NGC1316,MRC0320-373,MCG-06-08-005,LGG094:[G93]002,IRAS03208-3723,IRAS03207-3723,FCC021,ESOLV3570220,ESO357-022,DUKST357-001,ARP154,2MASXJ03224178-3712295                                                                                              |     12651 |  31.81 |  31.55 |    3.37826 |  -37.20821 |     1788 |       10 |      NaN |      NaN |     1556 |   49.6 |   67.8 |     0.24 |     0.04 | S0    | B    |       |           |             |  -1.8 |   0.7 |     2.13 |     0.02 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |  11.76 |   0.09 |   9.29 |   0.36 |   0.83 |    NaN |
  NGC1404                 | PGC013433,NGC1404,MCG-06-09-013,LGG094:[G93]012,FCC219,ESOLV3580460,ESO358-046,6dFJ0338519-353539,2MASXJ03385191-3535398                                                                                                                                         |     13433 |  32.02 |  31.51 |    3.64775 |  -35.59423 |     1946 |        4 |      NaN |      NaN |     1717 |  163.3 |   41.1 |     0.06 |     0.03 | E     |      |       |           |             |  -4.8 |   0.5 |     1.70 |     0.03 |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |    NaN |   0.05 |  10.81 |   0.56 |   0.94 |   8.69 |
  NGC0584                 | PGC005663,NGC0584,MCG-01-04-060,LGG027:[G93]001,IC1712,GIN794,6dFJ0131207-065205,2MASXJ01312075-0652050                                                                                                                                                          |      5663 |  32.07 |  31.50 |    1.52242 |   -6.86804 |     1850 |       26 |     1796 |       12 |     1766 |  104.5 |   82.8 |     0.18 |     0.03 | E     |      |       |           |             |  -4.7 |   0.9 |     1.58 |     0.03 |  71.78 |   4.78 |  72.35 |   4.88 |  16.94 |   0.39 |    NaN |   0.18 |  11.11 |   0.46 |   0.90 |   9.29 |
  NGC0628                 | UGC01149,PGC005974,NGC0628,MESSIER074,MCG+03-05-011,LGG029:[G93]005,IRAS01340+1532,IRAS01340+1531,HIPASSJ0136+15,CGCG460-014,AGC001149,2MASXJ01364177+1547004                                                                                                    |      5974 |  30.07 |  30.03 |    1.61161 |   15.78346 |      658 |        1 |      657 |        2 |      686 |    NaN |   19.8 |     0.03 |     0.04 | Sc    |      |       |           |             |   5.2 |   0.5 |     2.00 |     0.02 |  21.75 |   0.45 |  64.28 |   2.14 |  11.55 |   0.09 |   9.56 |   0.30 |   9.35 |    NaN |   0.48 |   8.71 |
  NGC0855                 | UGC01718,PGC008557,NGC0855,MCG+05-06-016,KUG0211+276,IRAS02111+2738,HI_J021404.3+275302,CGCG504-035,ALFALFA2-210,AGC001718,2MASXJ02140361+2752378                                                                                                                |      8557 |  30.07 |  29.92 |    2.23433 |   27.87690 |      592 |        2 |      592 |        3 |      670 |   67.0 |   90.0 |     0.43 |     0.05 | E     |      |       |           |             |  -4.8 |   0.7 |     1.47 |     0.05 |  34.92 |   2.07 |  34.92 |    NaN |  15.55 |   0.17 |  12.89 |   0.31 |  12.96 |  -0.02 |   0.63 |    NaN |
  NGC1291                 | PGC012209,NGC1291,MCG-07-07-008,IRAS03154-4117,HIPASSJ0317-41,ESOLV3010020,ESO301-002,DUKST301-001,AGC022452,6dFJ0317186-410629,2MASXJ03171859-4106290                                                                                                           |     12209 |  29.81 |  26.19 |    3.28850 |  -41.10799 |      837 |        8 |      839 |        2 |      593 |  156.0 |   29.4 |     0.05 |     0.03 | S0-a  | B    | R     |           |             |   0.1 |   0.4 |     2.05 |     0.02 |  20.76 |   0.41 |  42.27 |   1.05 |  13.12 |   0.09 |  11.84 |   0.06 |   9.32 |   0.44 |   0.90 |   8.18 |
  NGC3190                 | VV307:,UGC05559,SDSSJ101806.65+214958.8,PGC030083,NGC3190,MCG+04-24-026,LGG194:[G93]003,IRAS10153+2205,IRAS10153+2204,HCG044A,CGCG123-037,ARP316:,AGC005559,2MASXJ10180564+2149549                                                                               |     30083 |  31.58 |  31.93 |   10.30178 |   21.83279 |     1319 |        8 |     1312 |        4 |     1406 |  123.5 |   87.8 |     0.47 |     0.03 | Sa    |      |       |           |             |   0.9 |   0.6 |     1.56 |     0.02 | 215.34 |   7.65 | 215.50 |   7.69 |  15.62 |   0.17 |  11.54 |   0.11 |  11.39 |   0.36 |   0.85 |  11.33 |
  NGC3265                 | [WTK2001]J103106.78+284748.3,UGC05705,SDSSJ103106.77+284748.0,SDSSJ103106.76+284747.9,PGC031029,NGC3265,MCG+05-25-019,LGG197:[G93]004,IRAS10282+2903,CGCG154-023,AGC005705,2MASXJ10310676+2847470                                                                |     31029 |  31.81 |    NaN |   10.51855 |   28.79658 |     1424 |        4 |     1443 |        5 |     1548 |   73.4 |   65.4 |     0.14 |     0.04 | E     |      |       |           |             |  -4.7 |   0.6 |     0.98 |     0.09 |  85.99 |   4.73 |  94.57 |   5.40 |  16.69 |   0.24 |  12.35 |   0.10 |  13.93 |    NaN |    NaN |  12.79 |
  NGC4450                 | VCC1110,UGC07594,SDSSJ122829.58+170506.0,PGC041024,NGC4450,MCG+03-32-048,IRAS12259+1721,EVCC2124,CGCG099-062,AGC007594,2MASXJ12282963+1705058                                                                                                                    |     41024 |  32.38 |  31.08 |   12.47487 |   17.08490 |     1954 |        4 |     1955 |        4 |     2065 |  173.0 |   48.7 |     0.16 |     0.04 | Sab   |      |       |           |             |   2.4 |   0.7 |     1.74 |     0.02 | 138.66 |   3.48 | 184.44 |   4.91 |  15.77 |   0.17 |  12.23 |   0.12 |  10.46 |    NaN |   0.75 |   9.13 |
  NGC2798                 | VV050:,UGC04905,SDSSJ091722.80+420000.4,SDSSJ091722.73+415954.3,SDSSJ091722.70+415953.9,PGC026232,NGC2798,MCG+07-19-055,KUG0914+422A,KPG195A,IRAS09141+4212,CGCG209-045,ARP283:,2MASXJ09172295+4159589                                                           |     26232 |  32.21 |    NaN |    9.28966 |   41.99912 |     1740 |        6 |     1743 |        6 |     1899 |  154.2 |   83.3 |     0.46 |     0.03 | Sa    | B    |       | M         |             |   1.1 |   0.4 |     1.39 |     0.05 | 153.35 |   5.95 | 154.39 |   6.02 |  15.11 |   0.24 |   9.89 |   0.09 |  12.53 |  -0.09 |   0.60 |  13.80 |
  NGC3049                 | UGC05325,SDSSJ095449.56+091615.9,SDSSJ095449.56+091615.8,PGC028590,NGC3049,MRK0710,MCG+02-25-055,KIG0383,IRAS09521+0930,HIPASSJ0954+09,CGCG063-103,ALFALFA5-113,AGC005325,2MIG1352,2MFGC07671,2MASXJ09544965+0916179                                             |     28590 |  31.70 |  31.26 |    9.91378 |    9.27140 |     1482 |       14 |     1496 |        2 |     1501 |   27.8 |   58.0 |     0.24 |     0.03 | SBb   | B    | R     |           |             |   2.6 |   0.9 |     1.32 |     0.03 |  90.67 |   2.26 | 106.88 |   2.73 |  14.78 |   0.14 |  12.12 |   0.17 |  13.12 |    NaN |    NaN |  12.37 |
  NGC4254                 | VCC0307,UGC07345,SDSSJ121849.60+142459.4,PIN-WHEEL_NEBULA,PGC039578,NGC4254,MRC1216+146,MESSIER099,MCG+03-31-099,LGG285:[G93]011,IRAS12162+1441,HIPASSJ1218+14,EVCC0319,CGCG099-011,CGCG098-144,ALFALFA1-248,AGC007345,2MASXJ12184962+1424593                    |     39578 |  32.80 |  30.55 |   12.31378 |   14.41673 |     2408 |        8 |     2406 |        2 |     2503 |    NaN |   20.1 |     0.03 |     0.04 | Sc    |      |       | M         |             |   5.2 |   0.7 |     1.70 |     0.03 | 103.02 |   1.95 | 299.35 |   9.02 |  12.78 |   0.10 |   9.45 |   0.17 |  10.17 |  -0.03 |   0.51 |   9.01 |
  NGC4321                 | [TH2002]006,VCC0596,UGC07450,SDSSJ122254.91+154920.2,PGC040153,NGC4321,MESSIER100,MCG+03-32-015,M100,LGG289:[G93]057,KUG1220+160,IRAS12204+1605,IRAS12203+1606,HIPASSJ1222+15,EVCC0467,CGCG099-030,ALFALFA1-289,AGC007450,2MASXJ12225489+1549205                 |     40153 |  31.97 |  31.01 |   12.38191 |   15.82228 |     1574 |        2 |     1574 |        2 |     1677 |    NaN |   23.4 |     0.04 |     0.03 | SABb  | B    |       | M         |             |   4.0 |   0.3 |     1.79 |     0.02 | 112.78 |   1.89 | 283.95 |   6.93 |  13.17 |   0.09 |   9.70 |   0.11 |   9.83 |  -0.04 |   0.66 |   8.61 |
  NGC4536                 | VCC1562,UM506,UGC07732,SDSSJ123427.04+021117.2,PGC3295051,PGC041823,NGC4536,MCG+00-32-023,LGG287:[G93]014,IRAS12318+0227,HIPASSJ1234+02B,EVCC2169,CGCG014-068,AGC007732,2MASXJ12342712+0211163,2DFGRSN388Z200                                                    |     41823 |  32.16 |  30.81 |   12.57419 |    2.18795 |     1807 |        2 |     1803 |        2 |     1849 |  120.7 |   73.1 |     0.44 |     0.03 | SABb  | B    |       |           |             |   4.3 |   0.7 |     1.85 |     0.02 | 148.84 |   2.77 | 155.57 |   2.92 |  13.04 |   0.10 |   9.53 |   0.08 |  10.27 |  -0.10 |   0.50 |   9.47 |
  NGC4625                 | WSRT-CVN66,UGC07861,SDSSJ124152.72+411626.3,SDSSJ124152.72+411626.2,SDSSJ124152.71+411626.2,PGC042607,NGC4625,MCG+07-26-038,LGG290:[G93]011,KUG1239+415,KPG349B,IRAS12395+4132,IC3675,CGCG216-018,2MASXJ12415270+4116253                                         |     42607 |  30.40 |    NaN |   12.69798 |   41.27387 |      609 |        2 |      610 |        4 |      821 |    NaN |   46.1 |     0.12 |     0.03 | SABm  | B    | R     | M         |             |   8.7 |   0.9 |     1.15 |     0.04 |  27.87 |   0.91 |  38.67 |   1.32 |  14.12 |   0.12 |  12.64 |   0.08 |  12.73 |  -0.21 |   0.52 |  12.22 |
  NGC5033                 | UGC08307,SDSSJ131327.49+363538.0,PGC045948,NGC5033,MCG+06-29-062,LGG334:[G93]005,IRAS13111+3651,CGCG189-043,2MASXJ13132753+3635371                                                                                                                               |     45948 |  31.03 |  30.84 |   13.22431 |   36.59377 |      876 |        3 |      874 |        3 |     1080 |  171.8 |   64.6 |     0.33 |     0.05 | Sc    |      |       | M         |             |   5.0 |   0.8 |     1.99 |     0.02 | 203.97 |   4.23 | 225.79 |   4.81 |  12.25 |   0.10 |   9.80 |   0.05 |  10.08 |    NaN |   0.47 |   8.81 |
  NGC5474                 | VV344:,UGC09013,SDSSJ140501.41+533944.4,SDSSJ140501.40+533944.4,PGC050216,NGC5474,MCG+09-23-032,LGG371:[G93]002,IRAS14032+5354,IRAS14032+5353,CGCG272-023,2MASXJ14050160+5339439                                                                                 |     50216 |  29.52 |  29.18 |   14.08375 |   53.66227 |      257 |       22 |      275 |        2 |      520 |   99.7 |   50.2 |     0.18 |     0.03 | Sc    |      |       | M         |             |   6.1 |   0.6 |     1.38 |     0.03 |  17.23 |   0.38 |  22.42 |   0.51 |  12.54 |   0.13 |    NaN |   0.05 |  11.11 |    NaN |   0.46 |  12.56 |
  NGC5713                 | [FN2007]1880,UGC09451,SDSSJ144011.50-001720.3,SDSSJ144011.50-001720.2,PGC1147101,PGC052412,NGC5713,MCG+00-37-022,LGG386:[G93]009,IRAS14376-0004,HIPASSJ1439-00A,GAMAJ144011.50-001720.3,GAMA064771,CGCG019-077,8ZW447,2MASXJ14401152-0017211                     |     52412 |  32.34 |  30.69 |   14.66986 |   -0.28900 |     1951 |       18 |     1899 |        4 |     2018 |   10.8 |   48.2 |     0.16 |     0.03 | SABb  | B    | R     | M         |             |   4.0 |   0.3 |     1.39 |     0.03 |  80.41 |   1.34 | 107.91 |   1.93 |  13.52 |   0.12 |   9.88 |   0.17 |  11.18 |  -0.02 |   0.56 |  10.39 |
