| objname   | ra     | dec    |
| char      | double | double |
pgc184013       203.957      -34.2423
pgc72097       355.217      -13.3583
pgc72163       355.555      -12.0493
pgc72131       355.391       3.72494
pgc72128       355.371       3.73971
pgc72087       355.166       26.2361
pgc87204       356.084       10.1179
pgc1373952       356.023       10.0575
pgc70285       345.432       16.0675
pgc72491       357.190       4.17099
pgc141137       357.335       4.18129
pgc141134       356.712       6.85910
pgc72381       356.743       6.86176
pgc720361       356.712      -30.1848
pgc133627       358.668      -25.4885
pgc72799       358.519      -25.4547
pgc44050       193.886      -28.4589
pgc88666       193.989      -28.6460
pgc71498       351.957      -45.6963
pgc71775       353.615      -36.1016
pgc71464       351.734      -37.3470
pgc130826       353.379      -42.5779
pgc71824       353.842      -42.8920
pgc71785       353.659       23.2244
pgc71850       353.965       23.6187
pgc71878       354.092       2.15679
pgc71868       354.059       2.15502
pgc71883       354.131      0.297290
pgc135900       354.195      0.623420
pgc71837       353.917       1.19819
pgc71926       354.350      0.391670
pgc72038       354.862      -47.7749
pgc71943       354.435      -47.5064
pgc72006       354.703      -5.74690
pgc72060       354.974      -12.2928
pgc71208       350.473       17.4365
pgc71133       350.126       17.2256
pgc71368       351.177       41.3478
pgc71596       352.495       40.9904
pgc134530       350.574      -23.5522
pgc85469       351.098    -0.0870000
pgc224614       351.480      -81.8780
pgc69733       341.948      -22.3121
pgc71442       351.637       18.2665
pgc5065954       351.475       18.5458
pgc71375       351.237      -59.7890
pgc71603       352.528      -59.4647
pgc71480       351.871      -60.1646
pgc71726       353.313      -2.72018
pgc71760       353.495      -45.2103
pgc71790       353.680      -46.2047
pgc71645       352.764      -44.7557
pgc107441       353.794      -44.5704
pgc70505       346.771      -36.2753
pgc70680       348.119      -89.1263
pgc70533       346.900      -89.1166
pgc4668282       347.214       17.2100
pgc70714       348.308      -28.3575
pgc740586       347.945      -28.5292
pgc740335       347.856      -28.5513
pgc70292       345.474       15.9738
pgc71145       350.205      -41.7309
pgc71213       350.504      -42.4803
pgc70588       347.447      -43.4280
pgc71548       352.181      -41.3334
pgc130829       351.168      -42.4674
pgc70884       349.045      -42.5843
pgc107206       348.409      -41.9945
pgc70094       344.306      -43.3960
pgc4014483       344.886       13.6775
pgc70172       344.781       13.7213
pgc70236       345.092      -37.2011
pgc70275       345.355       30.2389
pgc5065949       345.449       16.1056
pgc5065950       345.575       16.2400
pgc70295       345.504       15.9647
pgc70332       345.747       16.6045
pgc229961       346.063      -79.5495
pgc70396       346.080      -79.4659
pgc70426       346.301       18.8680
pgc70485       346.616      -36.2448
pgc70488       346.669      -36.3095
pgc70093       344.300      -40.0988
pgc70302       345.529      -41.1644
pgc70025       343.924      -5.49546
pgc70154       344.644      -4.93839
pgc70083       344.226      -37.3474
pgc135466       343.211      -37.3489
pgc132595       344.295      -36.6694
pgc70075       344.172      -36.7727
pgc70081       344.221      -36.5542
pgc5064315       297.155      -9.78145
pgc132565       345.313      -35.7339
pgc70109       344.420      -35.3970
pgc70253       345.200      -35.3707
pgc70036       343.984      -43.4337
pgc558528       344.221      -42.7539
pgc70085       344.238      -43.7604
pgc135597       342.137      -39.9531
pgc69170       338.515      -64.6978
pgc70188       344.881      -65.1930
pgc68993       337.478      -65.6614
pgc69664       341.402      -65.1218
pgc69645       341.235      -65.3579
pgc5065948       338.405      -64.7069
pgc70113       344.456      -65.0386
pgc69714       341.843      -65.0586
pgc70142       344.587      -65.1297
pgc69777       342.244      -21.8152
pgc69847       342.650      -1.54478
pgc1129726       342.207     -0.986510
pgc69829       342.527      -1.04941
pgc69867       342.842      -20.2470
pgc69860       342.758      -20.2672
pgc69994       343.754      -39.6613
pgc131728       343.958      -39.5068
pgc68443       333.969      -45.7807
pgc68239       332.868      -44.1291
pgc68283       333.123      -47.2220
pgc68403       333.780      -46.2821
pgc525163       333.784      -45.5837
pgc68317       333.341      -46.0176
pgc130726       332.354      -47.1036
pgc141021       336.683       15.3277
pgc69271       339.029      -26.3134
pgc69270       339.014       33.9482
pgc69019       337.641       33.8207
pgc68026       331.540      -31.0883
pgc69173       338.545       32.8612
pgc2801063       338.919       23.6074
pgc134460       341.082      -23.3914
pgc69635       341.144      -22.9919
pgc69631       341.112      -20.0352
pgc69678       341.523      -19.4153
pgc67910       330.684      -31.9907
pgc67955       330.952      -31.9559
pgc67909       330.685      -32.8032
pgc67774       329.770       18.1775
pgc835987       330.665      -20.8618
pgc92721       331.335      -20.6137
pgc68473       334.134      -64.3893
pgc68059       331.716      -64.6345
pgc68312       333.285      -64.8506
pgc129874       331.501      -50.1085
pgc68431       333.908      -45.8500
pgc68441       333.954      -45.8465
pgc68165       332.318      -47.1668
pgc69444       340.003      -26.1240
pgc199065       330.709      -32.5769
pgc68409       333.806      -37.3224
pgc3186561       334.042      -36.0109
pgc68480       334.203      -36.4005
pgc67970       331.063      -32.6041
pgc67874       330.507      -31.8701
pgc67888       330.566      -31.7561
pgc67780       329.814      -31.2215
pgc67881       330.528      -31.9924
pgc67805       329.986      -31.4618
pgc67887       330.562      -31.2203
pgc68054       331.721      -31.0486
pgc68061       331.731      -31.0531
pgc67883       330.535      -31.9901
pgc132468       331.855      -33.3811
pgc133346       331.338      -31.9996
pgc67753       329.602      -32.2365
pgc67912       330.691      -31.9552
pgc67926       330.784      -22.3946
pgc68157       332.296      -27.1673
pgc68140       332.233      -27.2228
pgc68198       332.542      -36.0886
pgc68290       333.151      -35.9582
pgc68215       332.657      -43.2530
pgc68420       333.870       19.2201
pgc68469       334.121      -21.4308
pgc68328       333.415      -21.7344
pgc68390       333.728      -21.2626
pgc68484       334.212      -21.2501
pgc68538       334.601      -22.0530
pgc1068443       335.836      -3.66001
pgc1209573       227.197       1.90010
pgc68771       336.048      -3.48348
pgc68921       336.923      -9.72683
pgc68961       337.197       17.0156
pgc3090556       337.441       16.8496
pgc69009       337.621      -15.0070
pgc69114       338.195      -14.0968
pgc69177       338.560      -41.2348
pgc67507       327.943      -43.1235
pgc130692       328.484      -43.3084
pgc67546       328.110      -81.5307
pgc67593       328.428      -81.6542
pgc67663       329.040      -49.5220
pgc478923       328.987      -49.2441
pgc67641       328.838      -34.8141
pgc2816189       329.774       14.2389
pgc67759       329.642       14.1229
pgc67782       329.824      -43.8670
pgc67879       330.528      -43.2686
pgc67355       326.879       22.1643
pgc67795       329.913      -43.3062
pgc67707       329.336      -51.2182
pgc67971       331.064      -20.0467
pgc67943       330.871      -20.3181
pgc66783       321.816      -37.8558
pgc66821       322.149      -37.5869
pgc66904       322.916       2.45089
pgc66891       322.851       2.49105
pgc66869       322.606      -43.0871
pgc66909       322.947      -42.8477
pgc66934       323.147      -44.0676
pgc66985       323.633      -44.3147
pgc67139       325.014      -63.9089
pgc67160       325.158      -42.4804
pgc130620       324.974      -42.6116
pgc67379       327.054       22.1596
pgc3516522       224.285      -37.6319
pgc5065947       327.447      -60.7306
pgc361522       327.411      -60.6627
pgc67417       327.316      -60.7132
pgc67408       327.254      -59.9790
pgc67425       327.442      -34.8763
pgc65338       311.503      -45.8497
pgc101178       312.399      -37.8777
pgc65436       312.177      -37.9973
pgc392060       313.713      -57.2671
pgc65600       313.010      -57.0689
