#!! request processed by HyperLeda Mon Feb 17 21:38:51 2014
#!! Number of lines in uploaded file: 185
#                  name                  |     logd25      |    e_logd25     |
#! # Column 1: name   <No cross identification found>
#! #    <No cross identification found>
ngc5033                                 |   1.993         |    0.021        |
ngc5055                                 |   2.073         |     0.02        |
ngc5194                                 |   2.137         |    0.019        |
ngc5236                                 |   2.134         |    0.017        |
ngc5247                                 |   1.726         |    0.015        |
ngc5248                                 |    1.61         |    0.027        |
ngc5371                                 |     1.6         |    0.024        |
ngc5398                                 |   1.441         |     0.02        |
ngc5408                                 |   1.454         |    0.057        |
ngc5457                                 |    2.38         |    0.019        |
ngc5474                                 |   1.379         |    0.031        |
ngc5713                                 |   1.393         |    0.031        |
ngc5866                                 |     1.8         |    0.034        |
ngc6217                                 |    1.35         |    0.033        |
ngc6503                                 |   1.774         |    0.021        |
ngc6822                                 |    2.24         |    0.035        |
ngc6946                                 |   2.057         |    0.015        |
ngc6951                                 |   1.504         |    0.024        |
ngc7331                                 |   1.967         |    0.018        |
ngc7793                                 |   2.018         |    0.019        |
pgc023521                               |   1.114         |    0.136        |
pgc029284                               |   1.043         |     0.04        |
pgc29194                                |     0.9         |    0.131        |
sagdig                                  |   1.463         |    0.045        |
sextansa                                |   1.732         |    0.024        |
sextansb                                |   1.689         |    0.025        |
ugc2855                                 |   1.549         |    0.027        |
ugc4305                                 |   1.899         |    0.024        |
ugc4483                                 |   1.054         |    0.073        |
ugc5139                                 |   1.523         |    0.029        |
ugc5336                                 |   1.395         |    0.052        |
ugc5423                                 |   1.043         |     0.04        |
ugc5720                                 |   1.058         |    0.047        |
ugc7950                                 |   1.112         |    0.085        |
ugc8201                                 |   1.525         |    0.034        |
ugc8508                                 |   1.233         |    0.032        |
ugc8833                                 |   0.971         |    0.056        |
ugca281                                 |    0.89         |    0.046        |
ugca292                                 |   0.986         |    0.071        |
viizw403                                |   0.905         |     0.06        |
wlm                                     |   2.019         |     0.02        |
