# AKL - this is stupid, but be aware that I had to search and replace || -> | | a few times to get IDL to pick up the blanks. Switch to python ASAP.
# "EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"|"EDD Distances"
# pgc|Objname|Dist|e_D|Glon|Glat|SGL|SGB|Vhel|Vgsr|V_LS|SGX|SGY|SGZ|So|DM_T|eDM_T|DM_Q|DM_G|eDM_G|DM_N|GpID|NBG_ID
# %7s|%11s|%6.2f|%5s|%8.4f|%8.4f|%8.4f|%8.4f|%5d|%5d|%5d|%7.2f|%7.2f|%7.2f|%1d|%5.2f|%4.2f|%5.2f|%5.2f|%4.2f|%5.2f|%4d|%8s
# ---| |Mpc|Mpc|deg|deg|deg|deg|km/s|km/s|km/s|Mpc|Mpc|Mpc| |mag|mag|mag|mag|mag|mag| |
# "The Catalogue of Principal Galaxies (PGC) Number"|"Galaxy name"|Distance|"Uncertainty in distance"|"Galactic longitude"|"Galactic latitude"|"Supergalactic longitude"|"Supergalactic latitude"|"Heliocentric velocity"|"Velocity in Galactic stndard of rest (RC3)"|"Local Sheet reference frame (2008, ApJ,676,184)"|"Distance projected to SGX axis"|"Distance projected to SGX axis"|"Distance projected to SGX axis"|"Source: 1=CMDs/TRGB; 2=Quality Distances; 3=Cosmicflows-1 group distances; 4=Numerical Action kinematic model"|"Distance modulus from CMDs/TRGB catalog"|"Error in TRGB modulus"|"Distance modulus from Quality Distances catalog; 10% distance uncertainties"|"Distance modulus for group containing galaxy from Cosmicflows-1 catalog"|"Error in group modulus"|"Distance from velocity based on a Numerical Action model"|"Tully 3000 group identification number"|"Nearby Galaxies Catalog (1988) Group ID number"
27130|PGC027130|28.00| |249.4787|24.9204|123.7260|-52.0662|2117|1920|1853|-9.44|14.15|-21.82|4| | | | | |32.21|521|"31-13 12"
27135|ESO373-008|11.30|0.8|261.9226|13.6388|149.6693|-50.3144|929|706|626|-6.21|3.64|-8.67|3| | | |30.26|0.14| |1008|"54 -1  1"
27158|PGC027158|35.70|7.4|244.9380|28.5586|115.0466|-51.2284|2666|2481|2420|-9.45|20.22|-27.79|3| | | |32.76|0.41| |536|"31  0 12"
27183|PGC027183|17.00| |160.5267|44.8431|48.2955|-11.5082|755|809|842|11.28|12.65|-3.45|4| | | | | |31.19|294|"15 10 10"
27189|PGC027189|34.70|7.2|222.2126|41.0106|84.7268|-42.4333|2510|2392|2359|2.35|25.48|-23.40|3| | | |32.70|0.41| |582|"32  0  0"
27232|NGC2919|34.70|7.2|223.1745|40.8473|85.6831|-42.6755|2432|2312|2277|1.92|25.42|-23.50|3| | | |32.70|0.41| |582|"32  0  0"
27248|UGC05107|33.60|4.8|229.0911|38.4137|91.9152|-45.2378|2009|1871|1830|-0.79|23.63|-23.84|3| | | |32.63|0.29| |555|"31  0  0"
27351|NGC2935|26.20|3.7|253.5933|22.5714|130.8006|-51.3592|2277|2072|2000|-10.68|12.38|-20.45|3| | | |32.09|0.29| |520|"31-12 12"
27430|ESO565-029|26.20|3.7|254.7714|21.8638|132.8253|-51.0727|2412|2205|2131|-11.18|12.07|-20.37|3| | | |32.09|0.29| |520|"31-12 12"
27431|ESO126-023|33.00| |282.3123|-7.3033|184.4811|-35.4697|2759|2535|2447|-27.13|-2.13|-19.39|4| | | | | |32.62|589|"33 -1  1"
27450|ESO373-012|33.00|1.7|263.2981|13.6785|150.5697|-49.1106|2640|2417|2335|-18.79|10.60|-24.92|3| | | |32.59|0.11| |495|"31 -4  2"
27458|ESO091-016|19.30|4.0|283.2481|-8.2638|185.6983|-34.5816|2069|1847|1759|-15.83|-1.58|-10.97|3| | | |31.43|0.41| |594|"33 -3  3"
27466|ESO315-017|37.00| |266.8541|9.9760|157.7771|-47.4292|2470|2243|2158|-23.16|9.46|-27.24|4| | | | | |32.84|502|"31  0  2"
27473|NGC2938|26.90|3.8|135.4790|35.6745|35.3858|5.2119|2282|2413|2473|21.85|15.52|2.44|3| | | |32.15|0.29| |154|"12  0  0"
27476|ESO126-024|33.00| |282.1508|-7.0151|184.1181|-35.6164|2916|2692|2604|-27.10|-1.95|-19.46|4| | | | | |32.62|592|"33  0  1"
27602|UGC05151|17.00| |169.7921|47.6002|53.6614|-16.1432|414|441|463|9.85|13.38|-4.81|4| | | | | |31.19|295|"15 10 10"
27605|UGC05139|3.98|0.20|140.7296|38.6621|38.7657|1.3345|141|255|308|3.10|2.49|0.09|1|28.00|0.10| | | | |217|"14-10 10"
27606|ESO373-019|33.00|1.7|262.9048|14.8059|148.7776|-48.9234|2802|2580|2499|-18.52|11.23|-24.85|3| | | |32.59|0.11| |495|"31 -4  2"
27635|NGC2962|33.60|4.8|229.9966|39.6683|92.8084|-43.9477|1966|1829|1787|-1.18|24.14|-23.30|3| | | |32.63|0.29| |555|"31  0  0"
27709|UGC05172|25.00| |169.2327|47.7556|53.6134|-15.7385|2597|2625|2648|14.48|19.64|-6.88|4| | | | | |32.02|400|"21  0  0"
27723|NGC2967|30.00| |235.3722|37.2793|99.1363|-45.7646|1891|1739|1690|-3.31|20.61|-21.44|4| | | | | |32.38|540|"31  0 19"
27734|NGC2966|33.60|4.8|230.7611|39.6849|93.6214|-43.8885|2044|1906|1863|-1.53|24.15|-23.27|3| | | |32.63|0.29| |555|"31  0  0"
27747|PGC027747|23.10|1.6|241.9221|33.4167|108.2418|-47.9342|1854|1683|1626|-4.85|14.71|-17.16|3| | | |31.82|0.15| |537|"31-18 18"
27762|NGC2974|21.50|2.2|239.5124|35.0100|104.6640|-47.1137|1921|1758|1703|-3.70|14.14|-15.74|2| | |31.66| | | |537|"31-18 18"
27765|NGC2950|14.90|1.5|155.1900|44.6643|46.8629|-7.9873|1327|1395|1433|10.11|10.79|-2.07|2| | |30.87| | | |168|"13  0  5"
27777|NGC2964|20.60|1.9|194.6160|49.0182|66.3713|-27.7161|1321|1282|1279|7.31|16.71|-9.58|3| | | |31.57|0.19| |378|"21-12 12"
27795|NGC2979|43.00|8.9|245.8280|30.9325|114.3361|-48.7741|2664|2483|2421|-11.69|25.85|-32.38|3| | | |33.17|0.41| |561|"31  0  0"
27800|NGC2968|20.60|1.9|194.5017|49.0883|66.3523|-27.6149|1435|1397|1393|7.32|16.73|-9.55|3| | | |31.57|0.19| |378|"21-12 12"
27808|NGC2978|25.40|5.3|245.2860|31.3712|113.4035|-48.6048|1801|1621|1560|-6.66|15.38|-19.02|3| | | |32.02|0.41| |525|"31-16 12"
27817|PGC027817|23.10|1.6|241.1894|34.2100|106.9727|-47.4149|1951|1783|1727|-4.57|14.96|-17.02|3| | | |31.82|0.15| |537|"31-18 18"
27827|NGC2970|20.60|1.9|194.4388|49.1603|66.3650|-27.5327|1678|1640|1637|7.33|16.74|-9.53|3| | | |31.57|0.19| |378|"21-12 12"
27833|PGC027833|23.10|1.6|241.8277|33.8650|107.8866|-47.5469|2028|1859|1802|-4.79|14.85|-17.06|3| | | |31.82|0.15| |537|"31-18 18"
27840|NGC2983|26.20|3.7|254.3126|24.1895|129.7598|-49.7416|2015|1812|1740|-10.82|13.01|-19.98|3| | | |32.09|0.29| |520|"31-12 12"
27856|ESO373-021|33.00|1.7|264.6415|14.0203|150.9927|-47.7918|2651|2428|2345|-19.37|10.74|-24.41|3| | | |32.59|0.11| |495|"31 -4  2"
27869|ESO434-027|11.30|0.8|263.0068|15.8208|147.5055|-48.3463|1209|988|907|-6.32|4.02|-8.42|3| | | |30.26|0.14| |1008|"54 -1  1"
27885|NGC2986|26.20|3.7|255.0403|23.7226|130.9974|-49.6043|2275|2070|1998|-11.13|12.81|-19.94|3| | | |32.09|0.29| |520|"31-12 12"
27887|PGC027887|26.90|3.8|135.1937|35.9380|35.6338|5.4610|2355|2486|2546|21.78|15.61|2.56|3| | | |32.15|0.29| |154|"12  0  0"
27918|ESO434-033|11.30|0.8|262.8861|16.1735|146.9583|-48.2730|1256|1036|955|-6.29|4.09|-8.41|3| | | |30.26|0.14| |1008|"54 -1  1"
27966|ESO434-034|11.30|0.8|261.9543|17.3682|144.7267|-48.4277|1004|786|706|-6.11|4.32|-8.43|3| | | |30.26|0.14| |1008|"54 -1  1"
27968|UGC05218|47.00|7.0|229.4105|41.2748|92.0757|-42.3685|3087|2955|2914|-1.26|34.69|-31.67|3| | | |33.36|0.30| |584|"32  0  0"
27978|NGC2997|11.30|0.8|262.5789|16.7634|145.9700|-48.2304|1086|867|786|-6.22|4.20|-8.41|3| | | |30.26|0.14| |1008|"54 -1  1"
27982|NGC2992|29.00| |249.7063|28.7808|120.3987|-48.8317|2311|2121|2054|-9.61|16.38|-21.71|4| | | | | |32.30|524|"31-15 12"
27991|NGC2993|29.00| |249.7609|28.7712|120.4666|-48.8121|2419|2229|2162|-9.63|16.37|-21.70|4| | | | | |32.30|524|"31-15 12"
27997|UGC05224|28.20|4.0|233.2583|39.5486|96.2932|-43.8094|1941|1798|1752|-2.23|20.22|-19.51|3| | | |32.25|0.29| |539|"31-20 19"
28010|UGC05228|28.20|4.0|234.6960|38.8582|97.9769|-44.3137|1872|1725|1677|-2.80|19.97|-19.69|3| | | |32.25|0.29| |539|"31-20 19"
28015|ESO091-018|33.00| |283.7776|-7.5192|184.8230|-34.0278|2907|2685|2597|-27.60|-2.33|-18.70|4| | | | | |32.62|592|"33  0  1"
28026|NGC2990|47.00|7.0|230.3038|41.0955|92.9993|-42.5081|3088|2954|2911|-1.81|34.59|-31.75|3| | | |33.36|0.30| |584|"32  0  0"
28027|NGC3001|26.70|1.6|262.1580|17.4163|144.8187|-48.2370|2486|2268|2187|-14.52|10.23|-19.89|3| | | |32.13|0.13| |497|"31  5  2"
28044|ESO037-005|19.80|4.1|291.4176|-16.0275|194.7867|-26.6443|1165|959|874|-17.09|-4.51|-8.87|3| | | |31.48|0.41| |973|"53-18 18"
28087|UGC05238|36.50|7.6|236.0696|38.3694|99.5846|-44.5848|1787|1636|1587|-4.32|25.62|-25.60|3| | | |32.81|0.41| |538|"31-19 19"
28098|UGC05203|23.80|2.0|131.7713|33.9115|33.4483|8.1572|1542|1685|1748|19.63|12.97|3.37|3| | | |31.88|0.18| |122|"12 10 10"
28120|NGC2976|3.58|0.18|143.9133|40.9021|41.3251|-0.7751|3|105|155|2.69|2.36|-0.05|1|27.77|0.10| | | | |217|"14-10 10"
28136|UGC05245|21.00| |238.7928|37.0161|103.0076|-45.3670|1425|1267|1214|-3.29|14.24|-14.80|4| | | | | |31.59|556|"31  0  0"
28148|UGC05249|28.20|4.0|233.9744|39.7453|97.0064|-43.5325|1882|1738|1692|-2.49|20.28|-19.41|3| | | |32.25|0.29| |539|"31-20 19"
28153|PGC028153|24.00| |183.4784|50.1873|61.4026|-21.9661|1629|1620|1627|10.75|19.71|-9.06|4| | | | | |31.92|384|"21  0 12"
28169|PGC028169|20.60|1.9|193.1724|50.1969|66.3572|-26.2114|1487|1453|1451|7.41|16.94|-9.10|3| | | |31.57|0.19| |378|"21-12 12"
28186|NGC3003|20.60|1.9|192.3423|50.3406|65.9982|-25.7663|1478|1446|1445|7.55|16.95|-8.96|3| | | |31.57|0.19| |378|"21-12 12"
28246|IC2511|33.00|1.7|264.3440|16.0681|148.1100|-47.1018|2902|2681|2599|-19.05|11.85|-24.15|3| | | |32.59|0.11| |495|"31 -4  2"
28251|PGC028251|23.00| |158.9960|46.7911|49.7645|-9.8204|1485|1541|1574|14.72|17.39|-3.94|4| | | | | |31.82|169|"13  0  5"
28259|NGC3011|20.60|1.9|194.2469|50.4835|67.1572|-26.4067|1464|1428|1424|7.17|17.01|-9.16|3| | | |31.57|0.19| |378|"21-12 12"
28272|NGC3023|36.50|7.6|236.5051|39.0426|99.8458|-43.8543|1879|1729|1680|-4.50|25.92|-25.27|3| | | |32.81|0.41| |538|"31-19 19"
28296|NGC3020|18.30|2.6|222.3630|45.3332|85.5251|-38.1523|1447|1337|1305|1.12|14.33|-11.29|3| | | |31.31|0.29| |401|"21  0  0"
28298|NGC3059|19.80|4.1|291.1469|-15.3598|194.0429|-26.9140|1260|1053|968|-17.10|-4.28|-8.95|3| | | |31.48|0.41| |973|"53-18 18"
28308|PGC028308|43.00|8.9|248.6354|31.1268|117.2968|-47.3907|2770|2586|2521|-13.37|25.90|-31.69|3| | | |33.17|0.41| |561|"31  0  0"
28316|NGC2985|16.60|3.3|139.0131|38.6826|38.6344|2.6683|1322|1440|1495|12.95|10.35|0.77|3| | | |31.10|0.39| |119|"12 -7  7"
28317|UGC05272|10.00| |195.4163|50.5628|67.8766|-26.7877|520|481|476|3.49|8.58|-4.68|4| | | | | |30.08|272|"15  0  1"
28324|NGC3024|18.30|2.6|222.4770|45.3884|85.6340|-38.1062|1417|1307|1274|1.10|14.34|-11.28|3| | | |31.31|0.29| |401|"21  0  0"
28351|NGC3026|21.00|1.6|200.0137|50.3068|70.4665|-28.6265|1489|1438|1429|6.16|17.36|-10.06|3| | | |31.61|0.16| |379|"21-13 12"
28357|NGC3021|20.60|1.9|192.1775|50.8397|66.2590|-25.3139|1540|1509|1508|7.50|17.05|-8.81|3| | | |31.57|0.19| |378|"21-12 12"
28376|NGC3038|33.00|1.7|264.5894|16.3889|147.8629|-46.7413|2790|2570|2487|-19.13|12.02|-24.00|3| | | |32.59|0.11| |495|"31 -4  2"
28378|UGC05288|10.00| |228.7050|43.2462|91.2773|-40.4190|561|435|395|-0.18|7.90|-6.73|4| | | | | |30.08|273|"15  0  1"
28408|PGC028408|36.50|7.6|235.9749|39.8969|99.0458|-43.1057|1853|1706|1657|-4.19|26.30|-24.93|3| | | |32.81|0.41| |538|"31-19 19"
28424|NGC3032|22.00|2.2|199.0113|50.6719|70.0699|-27.9800|1532|1484|1476|6.62|18.25|-10.31|2| | |31.71| | | |379|"21-13 12"
28485|NGC3041|23.80|4.9|217.6683|47.5708|81.9789|-35.4319|1411|1316|1288|2.70|19.18|-13.78|3| | | |31.88|0.41| |402|"21  0  0"
28492|NGC3045|29.00| |254.6527|27.0855|127.0979|-47.4217|2252|2054|1982|-11.77|15.56|-21.24|4| | | | | |32.30|524|"31-15 12"
28517|NGC3044|19.20|2.8|236.1970|40.3741|99.1388|-42.6038|1292|1146|1097|-2.25|13.98|-13.02|3| | | |31.42|0.29| |373|"21 10 10"
28529|BK3N|4.11|0.25|142.3140|40.8274|41.0718|0.4099|-40|67|117|3.10|2.70|0.03|1|28.07|0.13| | | | |217|"14-10 10"
28571|NGC3054|34.80|5.0|260.1946|22.1332|137.4970|-47.0716|2432|2221|2144|-17.49|16.03|-25.51|3| | | |32.71|0.29| |498|"31  5  2"
28576|NGC3056|12.20|1.2|262.0598|20.2073|141.2762|-46.7961|1047|833|753|-6.51|5.22|-8.89|2| | |30.43| | | |1008|"54 -1  1"
28590|NGC3049|18.30|2.6|227.5653|44.7226|90.1785|-38.9571|1496|1375|1337|-0.04|14.22|-11.49|3| | | |31.31|0.29| |401|"21  0  0"
28606|IC2522|33.00|1.7|265.4969|16.6289|148.1575|-45.8619|3012|2792|2709|-19.50|12.11|-23.65|3| | | |32.59|0.11| |495|"31 -4  2"
28607|IC2523|33.00|1.7|265.5477|16.5744|148.2595|-45.8448|2613|2393|2310|-19.53|12.08|-23.65|3| | | |32.59|0.11| |495|"31 -4  2"
28617|NGC3055|25.00| |233.5393|42.2223|96.0653|-41.1326|1822|1685|1639|-2.02|18.99|-16.68|4| | | | | |32.02|557|"31  0  0"
28627|PGC028627|18.00| |228.7544|44.4302|91.2763|-39.2344|1283|1159|1119|-0.32|14.29|-11.67|4| | | | | |31.33|374|"21 10 10"
28630|NGC3031|3.65|0.18|142.0916|40.8999|41.1204|0.5864|-35|72|122|2.75|2.40|0.04|1|27.81|0.10| | | | |217|"14-10 10"
28636|NGC3027|16.60|3.3|138.7814|39.0530|38.9847|2.8858|1057|1175|1229|12.88|10.43|0.84|3| | | |31.10|0.39| |119|"12 -7  7"
28655|NGC3034|3.52|0.18|141.4095|40.5671|40.7218|1.0545|202|311|362|2.67|2.30|0.06|1|27.73|0.10| | | | |217|"14-10 10"
28664|ESO499-022|34.80|5.0|261.4879|21.3234|139.4962|-46.5933|2213|2001|1922|-18.20|15.55|-25.31|3| | | |32.71|0.29| |498|"31  5  2"
28682|IC2520|26.40|1.6|202.3947|51.2642|72.4961|-28.5485|1237|1182|1170|6.98|22.14|-12.63|3| | | |32.11|0.13| |368|"21  6  6"
28714|UGC05340|10.00| |199.8839|51.6160|71.1567|-27.4648|504|455|446|2.97|8.71|-4.79|4| | | | | |30.08|274|"15  0  1"
28731|KDG061|3.61|0.18|142.5015|41.2836|41.5434|0.3339|-135|-30|20|2.49|2.21|0.02|1|27.79|0.10| | | | |217|"14-10 10"
28741|UGC05347|33.60|4.8|233.6149|42.7749|96.0344|-40.5777|2155|2019|1974|-2.68|25.36|-21.84|3| | | |32.63|0.29| |555|"31  0  0"
28757|UGC05336|3.80|0.19|141.9765|41.0555|41.2628|0.6937|49|156|206|2.86|2.51|0.05|1|27.90|0.10| | | | |217|"14-10 10"
28758|IC2524|20.60|1.9|192.1693|52.2138|67.2096|-24.2447|1509|1479|1477|7.28|17.32|-8.46|3| | | |31.57|0.19| |378|"21-12 12"
28759|PGC028759|3.89|0.32|141.7210|40.9175|41.1002|0.8663|100|208|259|2.93|2.56|0.06|1|27.95|0.17| | | | |217|"14-10 10"
28778|ESO435-014|33.40|2.1|262.7821|20.5210|141.4499|-46.0595|2663|2449|2369|-18.14|14.45|-24.06|3| | | |32.62|0.13| |496|"31 -5  2"
28781|ESO435-015|33.40|2.1|264.5109|18.6189|145.0103|-45.7003|2418|2201|2119|-19.12|13.39|-23.92|3| | | |32.62|0.13| |496|"31 -5  2"
28795|UGC05349|23.00| |186.1655|52.3051|64.3044|-21.7240|1381|1366|1370|9.31|19.35|-8.56|4| | | | | |31.82|380|"21-14 12"
28801|ESO499-025|28.60|5.9|260.4019|23.1918|136.4542|-46.2683|2415|2206|2129|-14.32|13.61|-20.65|3| | | |32.28|0.41| |499|"31  5  2"
28805|NGC3067|20.60|1.9|194.2227|52.3207|68.3726|-24.9318|1476|1441|1437|6.89|17.37|-8.69|3| | | |31.57|0.19| |378|"21-12 12"
28806|NGC3078|35.20|3.5|261.7801|21.8026|139.1640|-46.0924|2502|2290|2211|-18.45|15.94|-25.33|2| | |32.73| | | |496|"31 -5  2"
28817|PGC028817|38.00| |223.0924|47.3880|86.4140|-36.1589|2839|2732|2699|1.92|30.64|-22.43|4| | | | | |32.90|571|"32  3  3"
28840|ESO435-019|33.00|1.7|264.2142|19.3757|143.8769|-45.5479|2811|2595|2513|-18.65|13.61|-23.53|3| | | |32.59|0.11| |495|"31 -4  2"
28845|NGC3087|35.00|3.5|266.8888|16.3242|149.4205|-44.8196|2662|2441|2357|-21.37|12.63|-24.67|2| | |32.72| | | |495|"31 -4  2"
28868|UGC05364|0.74|0.11|196.9038|52.4225|69.9139|-25.7978|28|-13|-19|0.23|0.63|-0.32|1|24.35|0.30| | | | |223|"14 12 12"
28876|NGC3081|28.60|5.9|259.0171|25.0344|133.2421|-46.0586|2385|2180|2104|-13.58|14.45|-20.58|3| | | |32.28|0.41| |499|"31  5  2"
28882|NGC3089|33.40|2.1|262.9820|20.9122|141.1341|-45.6857|2713|2499|2419|-18.18|14.65|-23.91|3| | | |32.62|0.13| |496|"31 -5  2"
28909|IC2531|33.40|2.1|263.9258|19.9759|142.9455|-45.4594|2477|2262|2181|-18.71|14.13|-23.82|3| | | |32.62|0.13| |496|"31 -5  2"
28913|UGC05373|1.43|0.07|233.1998|43.7835|95.4628|-39.6199|302|169|124|-0.10|1.10|-0.91|1|25.78|0.10| | | | |227|"14 12 12"
28915|IC2532|33.00|1.7|267.0488|16.4455|149.3661|-44.6279|2822|2601|2517|-20.18|11.95|-23.15|3| | | |32.59|0.11| |495|"31 -4  2"
28919|NGC3095|33.00|1.7|265.2707|18.5157|145.6564|-45.1314|2722|2504|2422|-19.20|13.12|-23.36|3| | | |32.59|0.11| |495|"31 -4  2"
28939|UGC05376|33.60|4.8|235.5206|42.7874|97.8452|-40.3364|2050|1911|1864|-3.49|25.35|-21.73|3| | | |32.63|0.29| |555|"31  0  0"
28974|NGC3073|33.70|3.4|157.9922|48.2462|50.9138|-8.6847|1217|1275|1306|21.02|25.88|-5.09|2| | |32.64| | | |157|"13 -1  1"
29009|NGC3094|44.70|10.3|220.0896|49.0586|84.2337|-34.2566|2404|2307|2277|3.71|36.73|-25.14|3| | | |33.25|0.45| |575|"32  3  3"
29034|UGC05391|23.00| |186.1778|53.0184|64.8493|-21.2223|1569|1554|1558|9.16|19.51|-8.37|4| | | | | |31.82|380|"21-14 12"
29036|UGC05393|20.60|1.9|193.0179|53.0623|68.2288|-23.8993|1448|1417|1414|6.99|17.50|-8.35|3| | | |31.57|0.19| |378|"21-12 12"
29046|NGC3065|28.00| |138.4335|39.4485|39.3521|3.1929|2000|2118|2172|21.36|17.52|1.54|4| | | | | |32.21|130|"12-14 14"
29050|NGC3079|25.80|1.7|157.8084|48.3610|50.9814|-8.5308|1124|1182|1214|16.08|19.84|-3.83|3| | | |32.06|0.14| |157|"13 -1  1"
29059|NGC3066|28.00| |138.4626|39.4923|39.3980|3.1749|2048|2166|2220|21.35|17.53|1.53|4| | | | | |32.21|130|"12-14 14"
29067|NGC3098|26.40|1.6|206.8039|52.0642|75.7001|-29.0307|1311|1247|1231|5.71|22.39|-12.82|3| | | |32.11|0.13| |368|"21  6  6"
29085|UGC05403|33.00| |215.3362|50.5694|81.0002|-32.1667|2085|2001|1976|4.43|27.94|-17.79|4| | | | | |32.62|407|"21  0  0"
29086|PGC029086|10.30|0.6|245.6435|37.4310|109.9188|-43.0432|666|499|440|-2.57|7.10|-7.05|3| | | |30.07|0.13| |270|"15 -5  1"
29096|ESO316-018|37.00| |272.4731|10.5904|159.5936|-42.0178|2968|2742|2654|-25.75|9.58|-24.75|4| | | | | |32.84|507|"31  6  6"
29128|NGC3109|1.33|0.07|262.1005|23.0702|137.9541|-45.1035|403|193|114|-0.70|0.63|-0.94|1|25.62|0.10| | | | |227|"14 12 12"
29140|ESO567-010|39.00| |258.7131|26.6662|131.2480|-45.1685|3069|2867|2792|-18.25|20.81|-27.85|4| | | | | |32.97|558|"31  0  0"
29141|ESO092-006|25.00| |286.3216|-7.6681|185.1387|-31.5157|2176|1957|1868|-21.53|-1.93|-13.25|4| | | | | |32.02|595|"33  3  3"
29146|NGC3077|3.81|0.19|141.8987|41.6612|41.8551|0.8333|7|113|163|2.84|2.54|0.06|1|27.90|0.10| | | | |217|"14-10 10"
29157|IC2536|33.00|1.7|267.4413|17.1052|148.7841|-43.9931|2728|2508|2424|-20.28|12.29|-22.89|3| | | |32.59|0.11| |495|"31 -4  2"
29166|ESO499-037|14.90|1.5|262.8179|22.4922|139.1658|-44.9094|961|750|670|-7.96|6.88|-10.49|3| | | |30.86|0.21| |1009|"54 -2  1"
29167|Garland|3.91|0.39|141.9145|41.7139|41.9089|0.8287|50|156|206|2.91|2.61|0.06|2| | |27.96| | | |217|"14-10 10"
29171|NGC3149|27.00| |296.1438|-19.8430|198.8819|-22.0769|2012|1817|1736|-23.28|-7.96|-9.98|4| | | | | |32.12|1006|"53  0  0"
29179|IC2537|33.40|2.1|263.2258|22.0995|139.9254|-44.8271|2793|2581|2501|-18.14|15.26|-23.56|3| | | |32.62|0.13| |496|"31 -5  2"
29186|NGC3104|13.00| |180.2947|53.1011|62.3687|-18.5650|618|617|626|5.82|11.12|-4.22|4| | | | | |30.61|284|"15  7  7"
29194|Antlia|1.35|0.07|263.0983|22.3100|139.5869|-44.8032|361|150|70|-0.73|0.62|-0.95|1|25.65|0.10| | | | |227|"14 12 12"
29202|ESO037-010|23.00| |292.9252|-15.9618|194.6943|-25.1960|1797|1593|1509|-20.24|-5.31|-9.84|4| | | | | |31.82|1002|"53  0  0"
29203|IC2539|33.00|1.7|265.8710|19.2251|145.1945|-44.2840|2834|2617|2535|-19.37|13.47|-23.01|3| | | |32.59|0.11| |495|"31 -4  2"
29209|NGC3107|38.00| |223.5145|48.8103|86.9100|-34.7663|2815|2711|2678|1.68|31.19|-21.68|4| | | | | |32.90|572|"32  3  3"
29216|NGC3113|14.90|1.5|263.9308|21.5085|141.1317|-44.6190|1088|875|794|-8.23|6.64|-10.44|3| | | |30.86|0.21| |1009|"54 -2  1"
29231|BK5N|3.65|0.18|142.3111|42.0475|42.2798|0.5818| | | |2.70|2.46|0.04|1|27.81|0.10| | | | |217|"14-10 10"
29257|UGC05428|3.56|0.18|144.1278|43.0921|43.5128|-0.5847|-124|-25|22|2.58|2.45|-0.04|1|27.76|0.10| | | | |217|"14-10 10"
29265|NGC3115|11.00|1.1|247.7825|36.7810|112.3997|-42.8563|698|527|466|-3.08|7.47|-7.49|2| | |30.07| | | |270|"15 -5  1"
29284|UGC05423|8.71|0.44|140.0335|40.8072|40.8335|2.1192|333|445|497|6.59|5.69|0.32|1|29.70|0.10| | | | |217|"14-10 10"
29296|NGC3057|23.80|2.0|130.6934|34.1960|33.7069|9.0589|1529|1674|1737|19.53|13.03|3.74|3| | | |31.88|0.18| |122|"12 10 10"
29311|NGC3136|24.50|2.5|287.9854|-9.4476|187.2843|-29.9432|1731|1515|1427|-21.10|-2.70|-12.25|2| | |31.95| | | |976|"53-21 21"
29347|PGC029347|24.00| |200.1600|53.6995|72.5081|-25.7591|1402|1355|1345|6.55|20.80|-10.52|4| | | | | |31.92|385|"21  0 12"
29366|NGC3125|14.90|1.5|265.3250|20.6449|143.1303|-43.9924|1097|882|801|-8.55|6.41|-10.32|3| | | |30.86|0.21| |1009|"54 -2  1"
29388|UGC05442|3.72|0.19|142.5910|42.4825|42.7396|0.4380|-17|86|135|2.55|2.35|0.03|1|27.85|0.10| | | | |217|"14-10 10"
29415|NGC3118|20.60|1.9|193.2658|54.2086|69.1177|-23.0803|1342|1311|1308|6.76|17.71|-8.08|3| | | |31.57|0.19| |378|"21-12 12"
29435|IC0591|32.70|6.1|225.8562|48.8794|88.7879|-34.7847|2842|2734|2698|0.57|26.82|-18.63|3| | | |32.57|0.37| |573|"32  3  3"
29469|UGC05460|20.00| |162.6203|50.7748|54.4259|-10.5350|1094|1138|1163|11.20|15.66|-3.58|4| | | | | |31.46|158|"13  1  1"
29472|UGC05459|25.80|1.7|160.8356|50.2751|53.5067|-9.6877|1112|1161|1188|15.14|20.46|-4.35|3| | | |32.06|0.14| |157|"13 -1  1"
29488|UGC05470|0.26|0.01|225.9846|49.1115|88.8989|-34.5552|229|121|86|0.00|0.21|-0.15|1|22.07|0.10| | | | |223|"14-12 12"
29506|UGC05455|16.60|3.3|139.5256|40.8511|40.8346|2.5060|1291|1404|1456|12.54|10.84|0.73|3| | | |31.10|0.39| |119|"12 -7  7"
29512|IC2554A|22.90|1.9|288.0173|-8.9915|186.7596|-29.8957|1375|1159|1071|-19.72|-2.34|-11.42|3| | | |31.80|0.17| |976|"53-21 21"
29530|NGC3137|14.90|1.5|265.2099|21.6743|141.8459|-43.5334|1109|896|815|-8.47|6.66|-10.23|3| | | |30.86|0.21| |1009|"54 -2  1"
29549|UGC05478|24.00| |198.2483|54.5299|71.9247|-24.4683|1381|1340|1331|6.84|20.95|-10.03|4| | | | | |31.92|386|"21  0 12"
29597|NGC3136B|21.30|2.1|288.1125|-8.8943|186.6518|-29.7980|1780|1564|1476|-18.34|-2.14|-10.58|2| | |31.64| | | |976|"53-21 21"
