| objname   | ra     | dec    |
| char      | double | double |
pgc4550510       317.318       9.84639
pgc4550512       318.095       9.96006
pgc4550513       233.089      -1.19730
pgc4550514       324.306       10.3735
pgc4550515       319.020       10.2558
pgc4550516       225.380      -1.01856
pgc4550517       321.866       9.90885
pgc4550518       323.330       10.1640
pgc4550519       204.986      -1.46600
pgc4550520       325.275       10.3731
pgc4550521       330.791       11.2544
pgc4550522       316.842       10.3412
pgc4550523       317.221       10.2369
pgc4550524       317.246       10.3584
pgc4550525       321.308       10.3138
pgc4550526       207.233      -3.26307
pgc4550527       323.134       10.4754
pgc4550528       324.117       10.7002
pgc4550529       325.990       10.9152
pgc4550530       201.834      -2.85118
pgc4550531       202.814      -2.87800
pgc4550532       338.677       13.6435
pgc4550533       204.823      -2.88481
pgc4550534       340.279       13.6837
pgc4550537       318.829       11.1130
pgc4550538       321.016       10.6696
pgc4550539       323.771       11.0581
pgc4550540       336.116       13.7153
pgc4550542       325.072       11.2015
pgc4550543       328.575       11.8306
pgc4550544       316.618       10.6568
pgc4550546       333.030       12.5643
pgc4550547       319.650       10.7301
pgc4550548       242.382       47.0463
pgc4550549       330.108       12.4719
pgc4550550       338.087       14.3921
pgc4550551       207.899      -2.08450
pgc4550553       237.885       48.7392
pgc4550554       338.665       14.5068
pgc4550555       319.132       11.0912
pgc4550556       201.174      -1.73428
pgc4550557       320.086       11.1967
pgc4550558       342.829       14.7990
pgc4550559       238.984       49.2982
pgc4550560       327.167       12.4486
pgc4550561       243.542       45.9935
pgc4550563       231.865     -0.883940
pgc4550565       242.161       47.6190
pgc4550566       320.184       11.7701
pgc4550567       346.458      -9.81530
pgc4550568       320.140       11.8019
pgc4550569       329.536       13.3544
pgc4550572       315.974      -1.13539
pgc4550573       318.442      -1.18081
pgc4550574       256.660       33.6975
pgc4550575       321.207      -1.18292
pgc4550576       322.216      -1.08764
pgc4550578       322.672      -1.19266
pgc4550580       323.080      -1.10841
pgc4550581       234.772      -1.88211
pgc4550582       235.537      -1.88769
pgc4550585       330.132      -7.25219
pgc4550586       318.249     -0.735320
pgc4550587       234.940      -1.10297
pgc4550588       319.867     -0.743190
pgc4550589       321.684     -0.662570
pgc4550590       322.088     -0.704960
pgc4550592       325.453     -0.629670
pgc4550593       325.662     -0.686320
pgc4550594       315.936     -0.357180
pgc4550595       316.249     -0.400290
pgc4550596       356.753    -0.0333000
pgc4550598       240.723       3.59340
pgc4550599       320.516     -0.236990
pgc4550600       321.071     -0.343890
pgc4550601       324.001     -0.419060
pgc4550602       324.438     -0.292800
pgc4550603       325.023     -0.410600
pgc4550604       241.462       3.77848
pgc4550605       316.068     0.0957700
pgc4550606       319.376      0.121370
pgc4550607       320.554      0.177290
pgc4550609       219.964       6.21405
pgc4550612       222.221       6.01204
pgc4550613       162.515       54.2085
pgc4550614       242.490       4.12399
pgc4550615       325.479    0.00457000
pgc4550616       316.087      0.490560
pgc4550617       316.259      0.549750
pgc4550618       316.417      0.619450
pgc4550619       316.604      0.448970
pgc4550620       317.623      0.612630
pgc4550621       316.888      0.627700
pgc4550622       217.414       6.95997
pgc4550623       318.897      0.512890
pgc4550624       163.331       54.8406
pgc4550625       218.151       6.71326
pgc4550627       221.432       6.58284
pgc4550628       320.820      0.485620
pgc4550633       235.964       5.29353
pgc4550634       323.565      0.539130
pgc4550637       323.864      0.576380
pgc4550638       242.558       4.66151
pgc4550640       124.033       23.0591
pgc4550645       317.750      0.891110
pgc4550646       318.199      0.933690
pgc4550647       318.715      0.870920
pgc4550648       123.344       23.1644
pgc4550650       320.397       1.00403
pgc4550651       320.986       1.02586
pgc4550652       321.625       1.03642
pgc4550653       122.456       22.4416
pgc4550654       121.606       21.9232
pgc4550655       356.496       14.1963
pgc4550656       323.657       1.02384
pgc4550657       325.874      0.873720
pgc4550658       315.763      -1.02388
pgc4550660       116.723       18.8845
pgc4550661       358.707       14.5207
pgc4550662       120.911       22.0147
pgc4550663       120.020       21.4393
pgc4550664       318.659     -0.880380
pgc4550665       318.987     -0.983770
pgc4550666       319.264      -1.04261
pgc4550667       320.013     -0.976350
pgc4550669       310.844     -0.518030
pgc4550670       353.104       14.7072
pgc4550671       354.249       14.9154
pgc4550672       318.223     -0.598740
pgc4550673       317.030     -0.526560
pgc4550674       318.007     -0.580280
pgc4550675       318.847     -0.449500
pgc4550676       310.971     -0.204220
pgc4550677       317.303    -0.0778700
pgc4550678       47.6511     -0.960370
pgc4550681       309.563      0.406370
pgc4550682       315.407      0.391850
pgc4550683       357.635       15.4730
pgc4550684       127.333       26.8703
pgc4550685       316.195      0.230090
pgc4550686       317.691      0.339800
pgc4550687       352.999       15.6576
pgc4550688       320.071      0.347870
pgc4550691       315.597      0.630280
pgc4550693       317.406      0.669420
pgc4550694       318.790      0.786990
pgc4550695       319.307      0.746430
pgc4550696       319.066       1.21288
pgc4550697       117.058       18.2687
pgc4550700       18.6224     -0.170170
pgc4550701       323.246     -0.980420
pgc4550702       323.251     -0.859010
pgc4550704       323.510     -0.923260
pgc4550705       324.417     -0.984530
pgc4550707       341.201      -9.04450
pgc4550708       332.422      -8.00290
pgc4550709       117.084       18.7585
pgc4550710       120.685       21.4312
pgc4550711       120.645       21.5318
pgc4550713       320.606     -0.435880
pgc4550714       124.430       24.2155
pgc4550715       321.706     -0.426950
pgc4550716       323.272     -0.602280
pgc4550718       323.518     -0.454900
pgc4550720       23.4050      0.376900
pgc4550721       326.460      0.485870
pgc4550722       326.653      0.564440
pgc4550723       325.828     -0.567800
pgc4550724       25.1001      0.261890
pgc4550725       117.342       19.5004
pgc4550726       119.435       21.0759
pgc4550727       120.978       22.1709
pgc4550728       332.617     -0.948830
pgc4550729       132.684       29.6744
pgc4550730       325.146     -0.594970
pgc4550731       137.748       32.2458
pgc4550732       324.791     -0.421800
pgc4550733       120.435       22.2806
pgc4550735       320.884     -0.163350
pgc4550736       133.965       30.8104
pgc4550737       322.953     -0.187660
pgc4550738       324.042     -0.117830
pgc4550739       324.133  -0.000340000
pgc4550740       335.460     -0.179110
pgc4550741       56.0759      0.652480
pgc4550744       325.717     -0.201440
pgc4550746       320.901      0.391700
pgc4550747       7.37805    -0.0734800
pgc4550748       134.342       41.2490
pgc4550749       137.842       43.3727
pgc4550750       324.382      0.680370
pgc4550751       183.552       47.2308
pgc4550755       322.818      0.786940
pgc4550757       170.142       46.7253
pgc4550758       143.325       46.3876
pgc4550759       326.116      0.672990
pgc4550760       324.531       1.10580
pgc4550761       170.377       47.1970
pgc4550762       326.121       1.21412
pgc4550763       321.012       1.10094
pgc4550764       197.641       45.7222
pgc4550765       323.946       1.11384
pgc4550766       324.422       1.21882
pgc4550767       325.696       1.25378
pgc4550768       170.718       56.2954
pgc4550769       139.215       46.0938
pgc4550770       169.432       57.5768
pgc4550771       204.611       45.9781
pgc4550774       134.769       42.1618
pgc4550775       135.389       42.7807
pgc4550776       182.926       11.3256
pgc4550777       177.193       11.5785
pgc4550779       174.149       53.9879
pgc4550780       187.874       12.2377
pgc4550782       120.631       30.7412
pgc4550783       180.594       12.6618
pgc4550784       182.592       12.6352
pgc4550785       53.2905       1.11264
pgc4550787       131.394       39.4222
pgc4550788       131.139       39.1628
pgc4550789       132.874       40.1614
pgc4550790       186.545       13.1125
pgc4550791       119.478       30.8019
pgc4550793       129.793       39.4248
pgc4550795       203.195       11.8971
pgc4550796       191.405       12.9844
pgc4550797       194.645       56.0727
pgc4550798       192.722       12.9069
pgc4550799       165.048       55.4208
pgc4550800       130.370       38.8322
pgc4550803       234.424       32.4495
pgc4550804       114.732       28.3206
pgc4550805       116.429       30.3587
pgc4550806       181.118       57.3376
pgc4550807       118.295       29.8745
pgc4550808       173.872       11.2323
pgc4550809       165.197       56.2120
pgc4550810       122.335       33.7659
pgc4550811       120.860       35.3723
pgc4550812       116.678       28.9981
pgc4550813       125.184       36.0389
pgc4550816       120.930       33.4961
pgc4550818       119.373       32.5037
pgc4550823       222.872       8.96613
pgc4550831       159.213       10.8509
pgc4550832       192.467       58.0143
pgc4550833       119.531       33.8731
pgc4550834       151.849       50.4370
pgc4550836       151.271       50.6683
pgc4550837       168.629       57.6744
pgc4550839       130.595       36.3873
pgc4550848       118.407       26.4881
pgc4550849       216.241       10.1955
pgc4550856       127.858       39.6939
pgc4550866       234.609       7.65761
pgc4550871       152.677       53.3081
pgc4550876       241.216       6.43330
pgc4550879       121.518       35.3565
pgc4550880       121.983       35.7773
pgc4550881       125.360       38.8542
pgc4550882       126.521       39.8270
pgc4550883       120.008       28.5781
pgc4550886       182.518       12.3927
pgc4550887       185.731       12.3377
pgc4550888       189.678       12.3729
pgc4550890       142.978       42.9625
pgc4550894       211.408       11.1011
pgc4550898       118.959       28.2455
pgc4550905       131.349       42.5428
pgc4550911       121.793       35.4789
pgc4550913       142.947       43.8866
pgc4550914       122.574       36.1216
pgc4550916       238.016       7.56522
pgc4550917       241.133       7.01045
pgc4550920       155.967       11.3734
pgc4550921       140.401       43.1145
pgc4550922       158.058       11.5897
pgc4550923       115.299       24.9361
pgc4550924       127.025       35.0781
pgc4550925       163.762       11.9306
pgc4550926       130.169       37.3250
pgc4550927       127.939       40.5658
pgc4550929       130.029       37.7150
pgc4550930       134.331       40.5025
pgc4550931       134.729       40.6825
pgc4550932       196.491       12.5720
pgc4550933       133.040       44.7280
pgc4550934       194.299       51.6772
pgc4550940       195.875       51.8214
pgc4550941       213.872       11.3184
pgc4550945       192.702       51.2688
pgc4550946       114.937       22.8635
pgc4550948       116.361       22.5767
pgc4550955       119.208       25.1830
pgc4550959       236.354       8.28152
pgc4550963       237.285       8.13501
pgc4550968       239.992       7.63703
pgc4550969       116.135       23.1185
pgc4550970       150.699       46.9699
pgc4550971       119.227       25.8816
pgc4550972       115.145       22.8517
pgc4550975       121.872       28.6130
pgc4550976       117.081       25.0563
pgc4550977       161.457       49.5626
pgc4550979       122.420       29.7789
pgc4550980       181.951       13.2432
pgc4550982       121.814       27.6901
pgc4550983       122.952       28.7903
pgc4550984       119.479       26.3265
pgc4550985       121.591       28.1205
pgc4550990       117.992       25.6785
pgc4550991       118.507       26.2288
pgc4550993       118.564       26.2002
pgc4550994       118.837       26.4391
pgc4550997       214.997       11.6578
pgc4551000       122.062       29.3233
pgc4551004       124.150       30.9292
pgc4551008       238.995       8.16455
pgc4551009       148.962       43.2156
pgc4551010       141.495       40.4048
pgc4551011       182.268       50.2976
pgc4551012       184.919       13.6865
pgc4551013       150.584       44.6157
pgc4551014       200.822       50.3383
pgc4551015       217.730       46.3645
pgc4551016       208.282       49.8955
pgc4551017       139.605       38.6971
pgc4551019       215.280       47.9887
pgc4551020       150.037       43.2062
pgc4551021       123.201       3.74407
pgc4551022       213.601       48.9354
pgc4551023       123.811       3.80534
pgc4551024       125.032       3.89793
pgc4551026       126.303       4.03623
pgc4551027       213.063       49.5767
pgc4551029       196.927       48.3234
pgc4551030       181.189       49.0030
pgc4551031       129.282       33.2276
pgc4551032       208.394       46.5241
pgc4551033       149.985       6.27619
pgc4551034       212.635       45.5542
pgc4551035       123.546       4.18586
pgc4551036       217.461       44.0870
pgc4551037       184.863       41.6848
pgc4551038       199.967       40.3319
pgc4551039       147.954       6.56410
pgc4551040       178.158       41.6003
pgc4551041       134.894       37.1544
pgc4551042       151.284       6.70112
pgc4551043       177.325       42.0202
pgc4551044       204.443       47.8877
pgc4551045       209.038       46.9539
pgc4551046       162.035       47.6242
pgc4551047       169.384       42.4121
